"pid","label","object_type","genre","worktags","iconclass_code","height_cm","width_cm","diameter_cm","location_country","location_city","location_collection","location_or_most_recent_sale_notes","collection_type","realdate","medium","medium_notes","support","support_notes","signature","signature_location","support_marks","further_inscription","print_notes","print_type","plate_dimensions","states","printmaker","publisher","series","collaborators","collaborator_notes","collectors_patrons","our_attribution","other_attribution_authorities","bibliography","biblio_reference","exhibition_history","ertz_1979","ertz_2008","bailey_walker","hollstein_no","provenance","provenance_text","related_works","related_works_notes","copies_and_variants","curatorial_files","general_notes","external_resources_title","external_resources_url","thumbnail","fullwidth","collection","layout","order","original_image_file","image_source_title","image_source_url"
18267,"Flower Garland Around Medallion of Madonna and Child (London, Sotheby's, 1965)","Painting","Garland","Birds|Christ|Virgin Mary|Flowers|Garland",,39,31,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, W. Williams-Wynn e.a. (anon.ged.) London Sotheby's, 30-6-1965, nr. 45, as J. Brueghel I and F. Francken II, met de opm.: in 1948 verkocht met certificaat van M.J. Friedlander.",,,,,,,,"img/derivatives/simple/18267/thumbnail.jpg","img/derivatives/simple/18267/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_London_Sothebys_1965_Madonna.jpg",,
18293,"Cartouche and Garland Around Madonna and Child (London, Sotheby's, 1983)","Painting","Garland","Putti|Christ|Holy family|Virgin Mary|Flowers|Garland",,87.5,74,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, London Sotheby's, 13-4-1983, nr. 18 as together F. Ykens en J. Schut",,,,,,,,"img/derivatives/simple/18293/thumbnail.jpg","img/derivatives/simple/18293/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_London_Sothebys_1983_Madonna.jpg",,
18258,"A Garland of Flowers Surrounding the Temptation of Saint Anthony Pendant (Sotheby's, London, 1996)","Painting","Garland","Flowers|Garland",,16.5,13.5,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, London Sotheby's, 1996-12-11, nr. 286",,,,,,,,"img/derivatives/simple/18258/thumbnail.jpg","img/derivatives/simple/18258/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_London_Sothebys_1996_Anthony_0.jpg",,
18248,"Flowers in Basket and Tazza (London, Sotheby's, 2000)","Painting","Flower Still-Life & Nature Study","Basket|Tazza|Flowers",,58.5,85.7,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, London Sotheby's, 2000-12-14, nr. 10",,,,,,,,"img/derivatives/simple/18248/thumbnail.jpg","img/derivatives/simple/18248/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_London_Sothebys_2000_Basket.jpg",,
18290,"The Holy Family with John the Baptist in a Landscape Surrounded by Fruit and Flower Garlands (London, Sotheby's, 2004)","Painting","Garland","Birds|Sheep|Putti|Christ|Holy family|Virgin Mary|Flowers|Food|Fruit|Garland",,73.9,54,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, London Sotheby's, 2004-07-07, nr. 26",,,,,,,,"img/derivatives/simple/18290/thumbnail.jpg","img/derivatives/simple/18290/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_London_Sothebys_2004_Holy_Family_John.jpg",,
18289,"Flower Garland Around Medallion of Madonna and Child with John the Baptist (Sotheby's, London, 2004)","Painting","Garland","Birds|Putti|Christ|Holy family|Virgin Mary|Flowers|Garland",,73.9,54,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, London Sotheby's, 2004-07-07, nr. 26",,,,,,,,"img/derivatives/simple/18289/thumbnail.jpg","img/derivatives/simple/18289/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_London_Sothebys_2004_Madonna_John.jpg",,
18284,"Flower Garland Around a Medallion with the Coronation of the Madonna (London, Sotheby's, 2005)","Painting","Garland","Christ|Holy family|New Testament|Virgin Mary|Flowers|Garland",,67.3,53.8,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, London Sotheby's, 2005-07-07, nr. 103""",,,,,,,,"img/derivatives/simple/18284/thumbnail.jpg","img/derivatives/simple/18284/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_London_Sothebys_2005_Coronation.jpg",,
18254,"Garlands of Flowers Encircling a Feigned Stone Cartouche with the Adoration of the Shepherds (London, Sotheby's)","Painting","Garland","Christ|Holy family|New Testament|Virgin Mary|Flowers|Garland",,119.4,98,,,,,,"Unknown/Not Applicable",,"Oil",,"Canvas",,,,,,,,,,,,"Flowers Series","Cornelis Schut",,,,,,,,,,,,,"Sale, London Sotheby's, 1998-07-09, nr. 264",,,,,,,,"img/derivatives/simple/18254/thumbnail.jpg","img/derivatives/simple/18254/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_London_Sothebys_Adoration.jpg",,
18265,"The Madonna and Child Surrounded by a Garland of Flowers (London, van Haeften)","Painting","Garland","Christ|Holy family|Virgin Mary|Flowers|Garland",,44.8,35.6,,"Unavailable","Private Collection/Art Market",,"London, J. van Haeften, cat. 1996","Private",,"Oil",,"Copper",,,,,,,,,,,,"Flowers Series",,"(FGM, 1996)",,,,,,,,,,,,"Verz. E.R. Rolph, Toronto, 1929 |Part.verz., U.S.A. |Ksth. J. van Haeften, London, 1996",,,,,,,,"img/derivatives/simple/18265/thumbnail.jpg","img/derivatives/simple/18265/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_London_Van_Haeften_Madonna.jpg",,
18624,"Holy Family Framed in a Garland of Flowers (Louvre)","Painting",,,,72,53,,"France","Paris","Musée du Louvre",,"Public",,,,,,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18624/thumbnail.jpg","img/derivatives/simple/18624/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Louvre_Holy_Family.jpg",,
18292,"Cartouche and Garland Around Madonna and Child with John the Baptist (Maastricht, 1975)","Painting","Garland","Christ|Holy family|John the Baptist|New Testament|Virgin Mary|Flowers|Garland",,77,53.5,,"Unavailable","Private Collection/Art Market",,"Maastricht, cat. Nov/Dec. 1975","Private",,"Oil",,"Panel",,,"r.o.",,,,,,,,,"Flowers Series",,,,,"Ertz as Jan Brueghel II",,,,,,,,,"Verz. D. de Klerck, Haarlem, 1965 |Ksth. R. Noortman, Hulsberg, 1975; Pictura, Maastricht, nov/dec. 1975",,,,,,,,"img/derivatives/simple/18292/thumbnail.jpg","img/derivatives/simple/18292/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Maastricht_1975_Madonna.jpg",,
18280,"Flower Garland Around Sepia Depiction of Nativity Scene (Maastricht, Fine Art Fair)","Painting","Garland","Putti|Christ|Holy family|Virgin Mary|Flowers|Garland",,73.5,100,,"Unavailable","Private Collection/Art Market",,"Maastricht, Netherlands, Fine Art Fair, cat. 1991, 1992, and 1993","Private",,"Oil",,,,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Ksth. Gebr. Douwes, Amsterdam, 1991",,,,,,,,"img/derivatives/simple/18280/thumbnail.jpg","img/derivatives/simple/18280/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Maastricht_Fair_Nativity.jpg",,
18253,"St. Jerome in a Flower Cartouche (Maastricht)","Painting","Garland","Lion|Waterfall|Flowers|Garland",,73,62.5,,"Unavailable","Private Collection/Art Market",,"Maastricht, Noortman, 1986","Private",,"Oil",,,,,,,,,,,,,,"Flowers Series",,,,,"Ertz as Jan Brueghel II",,,,,,,,,"Sale, Amsterdam, Muller, 26-27.5.1914 Nr. 60|Sale, R. Peltzer, Amsterdam (FM), 26/27-5-1914, nr. 60, samen met tegenh. met afb. |Dealer, H. Shickman, New York, 1968, cat. nr. 19, met afb. as D. Seghers |Dealer, Noortman, Maastricht, 1986.",,,,,,,,"img/derivatives/simple/18253/thumbnail.jpg","img/derivatives/simple/18253/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Maastricht_Jerome.jpg",,
18260,"Cartouche around Two Men in Garden (Maastricht)","Painting","Garland","Flowers|Garland",,107.5,147.5,,,,,,"Unknown/Not Applicable",1653,"Oil",,"Panel",,"Ao 1653 Lúcas van Vden Jan Breugel Jan Thomas, Nicolaus de man aetatis 57.1653","upper right, lower right",,,,,,,,,"Flowers Series",,"and J. Thomas",,,,,,,,,,,,"Part. verz., Franrijk |Vlg. Parijs (Dr), 27-6-1985, nr. 13, met afb. |Ksth. Noortman. Maastricht, 1985/1987",,,,,,,,"img/derivatives/simple/18260/thumbnail.jpg","img/derivatives/simple/18260/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Maastricht_Two_Men_0.jpg",,
18255,"Flower Garland Around Adoration of the Magi (Madrid, Prado)","Painting","Garland","Christ|Holy family|New Testament|Flowers|Garland",,35,29,,"Spain","Madrid","Museo del Prado","inv. 1849, nr. 1281; cat. 1975, nr. 1415","Public",,"Oil",,,,"P. BRVEGHEL",,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18255/thumbnail.jpg","img/derivatives/simple/18255/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Madrid_Prado_Adoration.jpg",,
18281,"Flower Garland and Stone Cartouche Around Adoration of the Magi Scene (Madrid, private)","Painting","Garland","Putti|Christ|Holy family|New Testament|Virgin Mary|Flowers|Garland",,75,94.5,,"Unavailable","Private Collection/Art Market",,"Madrid, cat. 2004","Private",,"Oil",,"Canvas",,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18281/thumbnail.jpg","img/derivatives/simple/18281/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Madrid_Private_Adoration_0.jpg",,
18263,"Vertical Flower Garland with Putti (Madrid)","Painting","Garland","Putti|Garland",,174,56,,"Unavailable","Private Collection/Art Market",,"Madrid, Nr. 1420, as ""Rubens-school""","Private",,"Oil",,"Canvas",,,,,,,,,,,,"Flowers Series","Peter Paul Rubens","School/circle of Rubens",,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18263/thumbnail.jpg","img/derivatives/simple/18263/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Madrid_Vertical_Garland.jpg",,
18261,"Cartouche with Flowers Around an Amorous Couple (Munich)","Painting","Garland","Flowers|Garland",,39,24.5,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, Munich (Hampel Kunst - Auktionen), 2005-09-23, nr. 174",,,,,,,,"img/derivatives/simple/18261/thumbnail.jpg","img/derivatives/simple/18261/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Munich_Amorous_Couple.jpg",,
18269,"Garland Around Medallion of Madonna and Child (Munich, Munchener Jahrbuch)","Painting","Garland","Christ|Holy family|Virgin Mary|Flowers|Garland",,63,49,,"Unavailable","Private Collection/Art Market",,"Munich, Munchener Jahrbuch, cat. 1981, blz. 115 e.v., met afb.","Private",,"Oil",,,,,,,,,,,,,,"Flowers Series",,,,,,"M.L. Hairs in Oud Holland 76, 1951 // blz. 178, met afb // M.D. Padron in Archivo Espagnol de Arte, 1980, nr. 210, blz. 203 e.v. afb. 17, als A. Daniels // Freedberg in Munchener Jahrbuch, 1981, blz. 115, e.v. met afb.",,,,,,,,"Milan, Pinacoteca Ambrosiana; cat. 1932, no. 49 of no.3.",,,,,,,,"img/derivatives/simple/18269/thumbnail.jpg","img/derivatives/simple/18269/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Munich_Munchener_Jahrbuch_Madonna.jpg",,
18277,"A Garland of Flowers Surrounding the Virgin and Child (Christie's, New York, 2002)","Painting","Garland","Christ|Holy family|Virgin Mary|Flowers|Garland",,57.9,47.6,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, NY Christie's, 2002-06-07, nr. 110",,,,,,,,"img/derivatives/simple/18277/thumbnail.jpg","img/derivatives/simple/18277/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_New_York_Christies_2002_Virgin_0_0.jpg",,
18247,"Flowers in Basket and Tazza (Christie's, New York, 2004)","Painting","Flower Still-Life & Nature Study","Basket|Tazza|Flowers",,54.6,90.55,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, NY Christie's, 2004-06-17, nr. 23",,,,,,,,"img/derivatives/simple/18247/thumbnail.jpg","img/derivatives/simple/18247/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_New_York_Christies_2004_Basket.jpg",,
18285,"Garland around an Medallion of Madonna and Child and Saint John the Baptist, with the Apostles in Four Corners (New York, Christie's)","Painting","Garland","Christ|Holy family|Virgin Mary|Flowers|Garland",,63.5,47.3,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, NY Christie's, 1998-01-29, nr. 48""",,,,,,,,"img/derivatives/simple/18285/thumbnail.jpg","img/derivatives/simple/18285/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_New_York_Christies_Madonna_John.jpg",,
18246,"Flowers in Basket and Tazza (Paris, Artcurial)","Painting","Flower Still-Life & Nature Study","Basket|Tazza|Flowers",,52,82,,,,,,"Unknown/Not Applicable","1630s","Oil",,"Panel",,,,,,,,,,,,"Flowers Series",,,,,"Ertz as Jan Brueghel II","Hairs 1965, S. 69, 363, Fig. 10 (also Jan I)|Eemans 1964, 48, Abb. 49|Ausst. Kat. Gent. 1960, S. 112, bei Nr.33|Ertz 1979, Abb. 368, S. 294, Anm. 387.",,,,,,,,"Ksth. P. de Boer, Amsterdam, 1932. |Verz. H.G.W. van Aardenne, Dordrecht. |Tent. Dordrecht, 1949, nr. 7 |Sale, Paris (Artcurial), 2013-11-13, nr. 14",,,,,,,,"img/derivatives/simple/18246/thumbnail.jpg","img/derivatives/simple/18246/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Paris_Artcurial_Basket.jpg",,
18272,"Cartouche with Flowers Around Madonna and Child  (Paris, Berge)","Painting","Garland","Christ|Holy family|Virgin Mary|Flowers|Garland",,38.2,27,,,,,,"Unknown/Not Applicable",,"Oil",,,,"DB",,"DB + handje (verso)",,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Part. verz., 1990 |Ontv.v.d.eigenaar, mei 1990. |Sale, Paris (Berge), 20-12-2013 , nr. 215, as EoFlamande, ent. D. Seghers C-5 dnt",,,,,,,,"img/derivatives/simple/18272/thumbnail.jpg","img/derivatives/simple/18272/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Paris_Berge_Madonna.jpg",,
18268,"Madonna and Child Surrounded by Cartouche and Flower Garlands (Paris, Gallery V)","Painting","Garland","Christ|Holy family|Virgin Mary|Flowers|Garland",,78.7,53.3,,"Unavailable","Private Collection/Art Market",,"Paris, Gallery V","Private",,"Oil",,,,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Ksth.Heim-Gairac, Paris, 1966 (adv. in Burlington Mag., juni 1966, met deze afb. as J.P. van Thielen) |Sale, Paris (George V), 22-6-1995, n. 4, met afb. in kleur |Ksth. V. Pitchal, Paris, 1998, achterzijde omslag cat., met afb. in kleur; getoond op Biennale, Paris, sept. 1998 |Sale, Vienna (Dorotheum), 6-10-2009, w. 134, kleur",,,,,,,,"img/derivatives/simple/18268/thumbnail.jpg","img/derivatives/simple/18268/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Paris_Gallery_V_Madonna.jpg",,
18257,"Flower Garland with Inner Garland of Religious Scenes (Sotheby's)","Painting","Garland","John the Baptist|Virgin Mary|Flowers|Garland",,65,50,,,,,,"Unknown/Not Applicable",1621,"Oil",,"Copper",,"(remnants of signature:) ....fr.nken IN..F../Ao 1621","middle",,,,,,,,,"Flowers Series","Frans Francken the Younger",,,,,,,,,,,,,"Van Erven Klein, Mainz, Kaiserstr. 20, as J. Brueghel, voor 20.000 Mk., 30-3-1930 aan H.d.G. aangeboden. ; Sale, Sotheby's, 1999-07-08, nr. 133",,,,,,,,"img/derivatives/simple/18257/thumbnail.jpg","img/derivatives/simple/18257/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Sothebys_Religious.jpg",,
18286,"Flower Garland with Putti Around Madonna and Child Illuminated by Holy Spirit and Served by Angels (Vienna, Dorotheum, 1973)","Painting","Garland","Putti|Christ|Holy family|Virgin Mary|Flowers|Garland",,36.5,29.5,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, Vienna, Dorotheum, 18-9-1973, nr. 17",,,,,,,,"img/derivatives/simple/18286/thumbnail.jpg","img/derivatives/simple/18286/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Vienna_Dorotheum_1973_Madonna_0.jpg",,
18278,"Flower Garland Around a Cartouche Framing the Madonna and Child (Vienna, Dorotheum, 1998)","Painting","Garland","Putti|Christ|Holy family|Virgin Mary|Flowers|Garland",,49.5,64.5,,,,,,"Unknown/Not Applicable",,"Oil",,"Copper",,,,,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, Amsterdam Christie's, 2005-05-11, nr. 13 |Sale, Vienna Dorotheum, 1998-03-12, nr. 234",,,,,,,,"img/derivatives/simple/18278/thumbnail.jpg","img/derivatives/simple/18278/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Vienna_Dorotheum_1998_Madonna_0.jpg",,
18264,"Garland of Flowers Around a Medallion with a Flute-PLaying Shepherd (Vienna)","Painting","Garland","Sheep|Flowers|Garland",,47,37,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,"P. Soreau","bottom left",,,,,,,,,"Flowers Series",,,,,,,,,,,,,,"Sale, Vienna (Dorotheum), 200-03-30, nr. 175",,,,,,,,"img/derivatives/simple/18264/thumbnail.jpg","img/derivatives/simple/18264/fullwidth.jpg","janbrueghel","brueghel_item",,"FlS_Vienna_Shepherd.jpg",,
18226,"Allegory of Air and Fire (Gallerie Robert Finck, Brussels)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Birds|Forge|Ruins|Van Balen|Nude|Landscape|Armor",,60.5,89,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series","Frans Francken the Younger",,,,,,,,,,,,,"Antichita viva 8/6 (1969) //Tent. Dusseldrof (R. Frick fnl. Burssel) 19-6-1965",,,,,,,,"img/derivatives/simple/18226/thumbnail.jpg","img/derivatives/simple/18226/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_Brussels_Air_and_Fire.jpg",,
18193,"Allegory of Air and Fire (The Hague)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Birds|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,,,,"Unavailable","Private Collection/Art Market",,"The Hague, Netherlands, D. Hersen","Private",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Ksth. Meuwese Eras, 's-Hertogenbosch, 1919.|Ksth. C.J. Reyerse, den Haag.",,,,,,,,"img/derivatives/simple/18193/thumbnail.jpg","img/derivatives/simple/18193/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_Hague_Air_and_Fire.jpg",,
18195,"Allegory of Air and Fire (London, Christie's, 1996)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Birds|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,50.3,64.5,,,,,,"Unknown/Not Applicable",,"Oil",,"Copper",,,,,,,,,,,,"Allegory of Fires Series","Frans Francken the Younger",,,,,,,,,,,,,"Sale, London (Christie's), 1996-12-13, nr. 34.",,,,,,,,"img/derivatives/simple/18195/thumbnail.jpg","img/derivatives/simple/18195/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_London_Christies_Air_and_Fire_1996.jpg",,
18194,"Allegory of Air and Fire (London, Christie's, 2009)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Birds|Forge|Ruins|Van Balen|Nude|Landscape|Armor",,47,61.6,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,"Ertz as Jan Brueghel II",,,,,,,,,"Sale, London (Christie's), 2009-07-07, nr. 43.",,,,,,,,"img/derivatives/simple/18194/thumbnail.jpg","img/derivatives/simple/18194/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_London_Christies_Air_and_Fire_2009.jpg",,
18192,"Allegory of Air and Fire (Cortauld Institute, London)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Birds|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,61,92,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Sale, The Duke of Wellington, Apsley House, London, cat. 1901, nr. 248.  Sale, the Duke of Wellington, Stratfield Saye. /// Sale, The Duke of Weillington, Stratfield Saye|zie fotolijst Cortauld INstitute, London, Aug. 1976, nr. 148, als H. Rottenhammer en J. Brueghel.",,,,,,,,"img/derivatives/simple/18192/thumbnail.jpg","img/derivatives/simple/18192/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_London_Cortauld_Air_and_Fire.jpg",,
18209,"Allegory of Fire: Venus in the Forge of Vulcan (London, Trafalgar Galleries)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Volcano|Nude|Landscape|Armor",,42,72,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,"signed by both artists",,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Franz Trau, Vienna",,,,,,,,"img/derivatives/simple/18209/thumbnail.jpg","img/derivatives/simple/18209/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_London_Trafalgar_Vulcan.jpg",,
18222,"Allegory of Air and Fire (Monaco)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Birds|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,53.5,75,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,"J.V. Kessel (C)",,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Sale, Monaco (Sotheby's), 2-3 dec. 1989",,,,,,,,"img/derivatives/simple/18222/thumbnail.jpg","img/derivatives/simple/18222/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_Monaco_Air_and_Fire.jpg",,
18196,"Allegory of Air and Fire (Munich)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Birds|Forge|Ruins|Van Balen|Volcano|Nude|Putti|Landscape|Armor",,50,85,,"Germany","Munich","Bayerische Staatsgemäldesammlungen","inv. nr. 1997","Public","late 1630s","Oil",,"Panel",,,,,,,,,,,,"Allegory of Fires Series","Frans Francken the Younger",,,,"Ertz as Jan Brueghel II","Jost 1963, S. 106, Anm. 78|Ertz 1979, nm. 584|Mus. Kat. Schleissheim 1980, S. 21 (als Jan II und Frans Francken II)","10144|10145",,,,,,,"Landshut, Filiagalerie, sinds nà 1945.|Aus der Kurfürstlichen Galerie München|Sale, T.M. Baring (anon. ged). London (Christie's), 20 Febr. 1986",,,,,,,,"img/derivatives/simple/18196/thumbnail.jpg","img/derivatives/simple/18196/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_Munich_Air_and_Fire.jpg",,
18181,"Allegory of Fire (Paris)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Van Balen|Landscape|Armor",,,,,"France","Paris","Musée du Louvre","cat. 1954, nr. 4007","Public",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18181/thumbnail.jpg","img/derivatives/simple/18181/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_Paris_Fire_0.jpg",,
18204,"Allegory of Air and Fire (Sarasota)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Birds|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,62.2,94,,"United States","Sarasota, FL","John and Mable Ringling Museum","cat. 1949, nr. 229","Public",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18204/thumbnail.jpg","img/derivatives/simple/18204/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_Sarasota_Air_and_Fire.jpg",,
18180,"Allegory of Fire (Stuttgart)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Van Balen|Landscape|Armor",,46,67,,"Germany","Stuttgart","Staatsgalerie Stuttgart","cat. 1931, no 613","Public",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18180/thumbnail.jpg","img/derivatives/simple/18180/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_Stuttgart_Fire.jpg",,
18217,"Allegory of Fire: Venus in the Forge of Vulcan (Versailles)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Nude|Landscape|Armor",,31,40,,,,,,"Unknown/Not Applicable",,"Oil",,"Copper",,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Sale, Versailles, 28-5-1963",,,,,,,,"img/derivatives/simple/18217/thumbnail.jpg","img/derivatives/simple/18217/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_Versailles_Vulcan.jpg",,
18224,"Allegory of Air and Fire (Vienna)","Painting","Allegory","Elements|Birds|Nude|Putti|Armor",,50,39,,,,,,"Unknown/Not Applicable",,"Oil",,"Copper",,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Sale, Wenen (Dorotheum), 21-3-2002",,,,,,,,"img/derivatives/simple/18224/thumbnail.jpg","img/derivatives/simple/18224/fullwidth.jpg","janbrueghel","brueghel_item",,"FS_Vienna_Air_and_Fire.jpg",,
18603,"Garden of Eden with Creation of Eve","Painting","Religious","Horse|Lion|Parrot|Nude|Old Testament|Paradise",,50,81,,"Germany","Pommersfelden",,"Schloss Weissenstein","Public","After","Oil",,,,,,,,,,,,,,"Paradise Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18603/thumbnail.jpg","img/derivatives/simple/18603/fullwidth.jpg","janbrueghel","brueghel_item",,"Garden_of_Eden_with_Creation_of_Eve_Pommersfelden.jpg",,
18619,"Kermis (Graz)","Painting",,,,112,171,,"Austria","Graz","Alte Galerie des Steiermärkischen Landesmuseums Joanneum",,"Public",,,,,,,,,,,,,,,,"Kermis Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18619/thumbnail.jpg","img/derivatives/simple/18619/fullwidth.jpg","janbrueghel","brueghel_item",,"Graz_Kermis.jpg",,
18620,"Kermis (Amsterdam Rijksmuseum)",,,,,112,157,,"Netherlands","Amsterdam","Rijksmuseum",,"Public",,,,,,,,,,,,,,,,"Kermis Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18620/thumbnail.jpg","img/derivatives/simple/18620/fullwidth.jpg","janbrueghel","brueghel_item",,"Kermis_attributed_to_Pieter_Balten_see_high_res_image_here.jpg",,
18621,"Art Market Kermis","Painting",,,,,,,,,,,"Public",,,,,,,,,,,,,,,,"Kermis Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18621/thumbnail.jpg","img/derivatives/simple/18621/fullwidth.jpg","janbrueghel","brueghel_item",,"KS_Art_Market_Kermis.jpg",,
