"pid","object_pid","author","comment","post_date"
86,2953,"E.A. Honig","<p>Attribution of this one has been doubted and it is indeed peculiar in the sense that the landscape is a late adaptation of some of Jan's very early forest landscape paintings, like Ertz 1979 #2 & 2a. The bridging work between them and this would be a painting formerly in a Russian museum (copper, 14.9 x 18.3, photo RKD), but I also wonder about the attribution of that one. On the other hand, the figures are by Vrancx who was notoriously fussy about not having studio copies of his work; so surely he would have insisted on collaborating with Jan himself?</p>","June 18, 2012"
87,2959,"E.A. Honig","<p>There is a more oblong copy on panel with dimensions 26 x 59 cm sold at Lepke on February 11, 1913.</p>","June 27, 2015"
88,2962,"E.A. Honig","<p>Another related work which has been said to be Jan Brueghel copying after Rottenhammer is a pictures sold in Cologne, Lempertz, November 25, 2000, #1120 (copper, 33 x 48.5); this one is illustrated in Borggrefe 2008, p.125, fig. 176. At least one actual collaboration between Jan and Rottenhammer must exist, probably the Munich/Augsburg picture, if Jan & studio were also producing further variants. </p><p>The present picture is, according to Werche, an authentic Van Balen from some time after 1620. According to her, Ertz had communicated to her that the collaborator was Jan the Younger although it is now included in the Jan the Elder book. </p><p>There is a copy of this in Antwerp, KMSK, also very large (100 x 218) and on canvas.</p>","March 2, 2013"
89,2963,"E.A. Honig","<p>Exhibited in Brake/Prague (Borggrefe 2008) as being just by Rottenhammer. There are, the catalog states, many copies of this composition, including one that has been attributed to Jan Brueghel; for the other copies see Borggrefe p.126. </p><p>The date on this work has been disputed. Pelzer dated it after 1606, Mai put it in 1598 and Schlichtenmaier even earlier, in Rottenhammer's Venetian period. Munich catalogue now suggests ca. 1597.</p><p>The motif of God surrounded by putti is repeated (how closely?) in the <a href=""/janbrueghel/winter-landscape-with-angels-strewing-flowers"">Winter Landscape with Angels Strewing Flowers</a> that Rottenhammer and Brueghel executed in collaboration.</p>","June 10, 2012"
90,2964,"E.A. Honig","<p>One of many copies of this composition, most obviously including a version in Munich, Ertz #260. There is a drawing by Rottenhammer related to this composition in Prague, which seems much related to his experiences in Venice, especially the work of Tintoretto. Drawing illustrated in Borggrefe et al, p. 174. The Brake/Prague exhibition catalogue llisted ten copies, of varying dimensions, by Rottenhammer's studio and later followers; pp. 124-6. </p><p>Another version of this work was sold by Christie's Paris on 23 June 2010: oil on panel, 33 x 48.</p>","November 16, 2013"
91,2965,"E.A. Honig","<p>Figures seem too big and simple to be by Jan; Munich's current attribution to Jan the Younger seems right.</p>","March 29, 2014"
92,2967,"E.A. Honig","<p>A group of variations with a chalice of flowers rather than a glass with flowers:</p><ul><li>A variant by Jan Brueghel the Younger with two bugs and two flower buds at right (54.6 x 90.5 cm) sold in New York, Christie's, June 17, 2004, # 23.</li><li>A variant with two bugs and a flower bud at right (52 x 82 cm) sold at auction, Christie's, London, July 6, 2007, #106, as Jan Brueghel the Younger.</li><li>A variant by Jan Brueghel the Younger (58 x 85.7 cm) sold at Sotheby's, London, December 14, 2000, # 10</li><li>A variant sold by Sotheby's, London, March 19, 1975, #81, attributed to workshop of Jan Brueghel the Elder.</li><li>A variant by a follower of JBI (68 x 100 cm) in Bergen, Billedgalleri, Cat. 1907 #BB670.</li><li>Variant with a caterpillar (54 x 80 cm) by follower of JBI sold at auction by Chaspentier, Paris, May 28, 1954, #75.</li><li>A variant with ladybug (56 x 82 cm) in the collection of H. J. Hyams, 1968.</li><li>A variant with a horsefly (55.8 x 83.9 cm) sold Christie's, London, Dec. 14, 1979.</li><li>A variant with a tulip  by a follower of JBI (64 x 93.5) exhibited in Budapest Museum, ""Delights for the Senses"", 1989, #B6 fig 33 as Jan Brueghel the Younger.</li><li>A copy (53 x 73 cm) with a tulip, in the collection of Mrs. Aruthur V.R. Tilton, Hartford Conn., 1958</li></ul>","June 27, 2015"
93,2969,"E.A. Honig","<p>Several variations of this painting exist (many by JBII):</p><ul><li>one on art market Amsterdam (Christie's 11.v.94 #170) as Jan Brueghel the Younger; RKD calls it “circle of JBII.""</li><li>A poor copy of same size was sold in The Hague (Van Marle & Bignell 26/27.ii.41 #6).</li><li>Another on panel, 50 x 45 cm, sold in New York (Christie's 18.i.84 #6 as Ambrosius Brueghel).  </li><li>A poor copy on copper (18 x 32 cm) sold London (Sotheby's 17.iv.96 #677).</li><li>A copy on panel (55.9 x 73.6), sold by Durlacher Bros, New York.</li><li>A copy on panel (34 x 55 cm), including a Chalice with grapes and a wine flute, sold at Christie's, London, July 10, 1998 # 10</li></ul>","June 27, 2015"
94,2969,"Ashley Jerbic","<p>Identified flowers within the composition are hyacinths, orange lilies, and Turk’s cap lilies.</p>","June 12, 2012"
95,2971,"E.A. Honig","<p>Ertz has argued that not only the landscape but also the horses in the battle might be by Jan. Even though Jan was more engaged with battle painting at a moment shortly after this, the horses don't look like his type, and in terms of technical execution it would hardly be possible.</p>","June 12, 2012"
96,2972,"E.A. Honig","<p>Description in Diego Duarte collection, Antwerp 1682:  ""No 62 Een stuck op paneel denslagh van de Amasoonen vol werekx van syn vroege manier.  Het landtschap offte verschiet is geheel van den Fluweelen Bruegel, guld.100.""  (#62: a piece on panel the battle of the Amazons with many details in his [Rubens's] early manner. The landscape or distance is entirely by [Jan] Velvet Brueghel. 100 guilders) </p><p>The Potsdam picture has been slightly overpainted to make the figures more modest.</p><p>Has been attributed to Otto van Veen, clearly wrongly.<br />Of the two versions of this subject, the Potsdam one is probably the ""prime,"" although that is a difficult concept when it comes to his studio methods. </p><p>Overall composition very loosely based on a print after Giulio Romano's Battle of Constantine at the Milvian Bridge (Vatican); engraved in the 16th century by the Monogrammist SK.</p>","October 18, 2012"
97,2974,"E.A. Honig","<p>For further information on this painting, please see <a href=""http://skd-online-collection.skd.museum/de/contents/show?id=241813"">the Staatliche Kunstsammlungen Dresden webpage on this painting</a>.</p>","October 12, 2012"
98,2974,"E.A. Honig","<p>Narrative is from Exodus, 17:8-13.</p><p>Note that in the sale of Jan's estate there is listed ""Een slach van Senacrip van vader selfs gedaen"" -- so there was another Old Testament battle scene, that one from II Kings 17-19. It is also possible that the picture in Jan's sale is the present work and was just misidentified there. See Denuce, Brieven en documenten, 141. Jan's colleague Frans Francken also painted Old Testament battle scenes, and the subject can also sometimes be found in 16th and 17th-century Antwerp inventories.</p>","October 12, 2012"
99,2977,"Paige Walker","<p>British Museum website: ""Possibly a copy after a detail from an unidentified painting by Jan Brueghel (not in K. Ertz, ""Jan Brueghel der Ältere: Die Gemälde"", Cologne, 1979).""</p>","June 30, 2013"
100,2982,"E.A. Honig","<p>Fred Meijer dates this painting to ca. 1609-10.</p>","June 27, 2015"
101,2983,"E.A. Honig","<p>Technical examination of this painting revealed no underdrawing but a rough indication of composition using green paint on a light grey ground. Wallart in Amsterdam 1999, p. 46<br />Although the Rijksmuseum website now dates this work to 1625-30, after Jan's death, their own technical team had proved pretty conclusively that the copper plate, at least, dates from ca. 1602. Of course it could have been sitting around Jan's workshop for 25 years but that seems unlikely.</p>","November 7, 2014"
102,2984,"E.A. Honig","<p>A variant in the Rijksmuseum, inv. #1848.<br />Variant sold by Christie's, New York, #57, June 5, 1980.</p>","June 27, 2015"
103,2986,"E.A. Honig","<p>Museum has gone on and off about attribution, sometimes calling it an autograph work but often listing it as a studio piece. There are no close copies/variants.</p><p>According to Fred Meijer, this painting must have been known by Bosschaert by about 1606/7 because he borrows from it in one of his earliest flower pieces.  This means that Brueghel's earliest flower pieces were shipped not just to Borromeo but also  to Middelburg.  Probably for flower collectors there.  Bosschaert might have known about this painting in his role as a dealer. </p><p>Jan Brueghel the Younger painted variants with a similar glass vase: a copper on panel (18.5 x 24.5 cm) sold at auction (Van Ham Kunstauktionen), May 16, 2008, nr. 377; and one in the Rijksmuseum, Amsterdam.</p>","June 5, 2012"
104,2991,"E.A. Honig","<p>Ertz had a much earlier date for this work (1609-15) but Brenninkmeijer-de Rooij is certainly right in dating it later: it's too fussy to be that early.</p>","March 11, 2014"
105,2993,"E.A. Honig","<p>A close copy of this series of flowers in a Wanli vase by Jan Brueghel the Younger (Copper, 48 x 35 cm), is in Madrid, Museo del Prado, #1421 (the Prado attributes it to Jan van Kessel the Elder).</p>","June 16, 2013"
106,2995,"E.A. Honig","<p>A close copy of this series of flowers in a Wanli vase by Jan Brueghel the Younger (Copper, 48 x 35 cm), is in Madrid, Museo del Prado, #1421 (the Prado attributes it to Jan van Kessel the Elder).<br />The Mauritshuis notes (1992) that the present work is not in good condition. The version formerly w/ Richard Green is in very good condition.</p>","March 11, 2014"
107,2997,"E.A. Honig","<p>This painting is a variant of the <a href=""/janbrueghel/bouquet-with-mourning-iris-in-a-stoneware-vase-prague"">Bouquet with Mourning Iris in a Stoneware Vase (Prague)</a><br />There is a variant in a private collection in Germany (56 x 42 cm, oil on panel)</p>","June 27, 2015"
108,2997,"E.A. Honig","<p>This painting is a variant of the <a href=""/janbrueghel/bouquet-with-mourning-iris-in-a-stoneware-vase-prague"">Bouquet with Mourning Iris in a Stoneware Vase (Prague)</a><br />There is a variant in a private collection in Germany (56 x 42 cm, oil on panel)</p>","June 27, 2015"
109,3000,"E.A. Honig","<p>This is a variant of <a href=""/janbrueghel/bouquet-with-mourning-iris-in-a-stoneware-vase-cambridge"">Bouquet with Mourning Iris in a Stoneware Vase (Cambridge)</a>.<br />A detail of this painting can be found <a href=""http://www.wga.hu/art/b/bruegel/jan_e/flowers/flowers6.jpg"" target=""_blank"">here</a><br />A variant in a private collection in Germany (56 x 42 cm, oil on panel)<br />A poor copy (52 x 41 cm)by B. van der Ast in Wallraf-Richartz Museum, Cologne (#2860, 1965 catalog). For photo, see Rheinisches Bildarchiv, Cologne, neg. #46763, taken Nov. 1966.<br />Copy in Chicago, Art Institute, inv. #1948.570 (panel, 65.6 x 46.4)</p>","June 27, 2015"
110,3000,"Ashley Jerbic","<p>A cluster of Madonna lilies rises above the tulips and the fire lilies. Blue irises surround the white lilies, while a branch of currents rest on the right of the table. Winkelmann- Rhein 1968, pp.35,40/Currie & Allart 2012, pp. 243</p>","April 25, 2014"
111,3003,"E.A. Honig","<p>Although I had doubts about this work based on photographs, having looked at it at the Louvre I think it is a real Jan Brueghel.</p>","May 12, 2013"
112,3005,"E.A. Honig","<p>Many figures and animals in this work derive from drawings by Rubens; see Ertz on this. They are used in a 1620 paiting by Rubens in Munich and one in Berlin, and the cows relate to a Rubens painting now in the British royal collection, but there are also drawings by Rubens for those figures (& cows).</p><p>The present work is one of Jan Brueghel's largest, along with the Dijon View of Mariemont (which is itself a sort of expanded version of a small, detailed work from 1612). </p><p>The 1636 inventory records this as follows: ""Otro lienzo del tamaño y moldura de los de la boda, habría dudas en que está demostrada la forma de hacer manteca, cámo se ordeñan las vacas y se hace la manteca en Flandres.” Archivo de Palacio, Madrid, leg. 768, fs. 33-35</p>","July 8, 2013"
113,3005,"E.A. Honig","<p>There is also a drawing for the picnicking people by Jan Brueghel, now in Rotterdam.</p>","August 4, 2014"
114,3006,"E.A. Honig","<p>Hard to judge from auction house photo but figures aren't actually that good.  In fact, this is a completely lifeless and boring work.  The colors are nice but I can't believe it's autograph.  the fact that there are various copies argues that somehow the composition originated in his workshop. There is a copy of this one in the Prado, another in Belfast, and a lesser variant by some follower in the DVRK.</p>","November 29, 2015"
115,3007,"E.A. Honig","<p>Photograph at RKD shows that this work was in bad shape while in Dresden, with huge crack running straight across at about 1/3 of the way up the panel. </p><p>Large copy on canvas sold Berlin March 12, 1935, #55 (75 x 128)</p>","June 16, 2012"
116,3008,"E.A. Honig","<p>One of the basic ""type""landscapes of which many many copies and variants exist.  This original has some damage, but it also has some claim to being the prime (or the earliest) of the group.</p><p>The two paintings that Ertz calls possibly autograph variants, 1979 #s 161 and 162, are really extremely different.<br />Further copies</p><ul><li>One in Prado which Ertz originally suggested was Jan the Younger but seems not to have included in monograph on that painter.  </li><li>One which may be pretty good was sold Sotheby's (London) 11.iv.90 #17.  </li><li>OK variant sold New York (Sotheby's 17.i.92 #32), panel, 36.2 x 48.9.  Ertz not only accepted this but suggested that the figures were by the young Rubens.  I would not accept as Jan, midground shows clear boredom, it could  be a studio work.</li><li>Lousy copy formerly art market, London (sold Phillips 10.xii.91 #124), copper, 31 x 39.3</li><li>Feeble copy attributed to Jan the Younger (Ertz JBII #28) in Warsaw, Muzeum Narodowe, inv. #129170 (panel, 32 x 45.5).  This does not look good enough to be a Jan the Younger, figures are awful. </li><li>terrible copy with Brod, London, 1970, panel,  4 3/4 x 7 1/8 in</li><li>Hysterically funny bad copy from maybe 18th century or even later sold Paris, Galliera, 7.xii.76 #31, panel, 36.5 x 47.5.  This injects a bunch of motifs from Rubens and maybe Pieter Bruegel, it's really jolly.</li><li>Almost as bad variant with Boskovitch 1972, copper, 36 x 46.</li><li>Also here (Ertz JBII #29) a very very distant variant, tiny copper oval, in Enschede, Rijksmuseum Twenthe, inv. #51.  For another related work & copies see my q00028.</li></ul><p>More variants noted by Ertz:</p><ul><li>Paris, Louvre</li><li>Manchester, City Art Gallery inv. #11908/34 (on copper, really awful)</li></ul>","June 20, 2012"
117,3008,"E.A. Honig","<p>Drawing closely related to the present painting: Landscape with Windmills (19.7 x 30.9), New York, Metropolitan Museum of Art, Inv. #42 186. Ertz is not sure whether the drawing is a study for or a copy after the painting; it is certainly not “followed” in any other version. In general, in fact, the group of pictures is an excellent example of how drawings or sketches of motifs–the windmill, a house, individual figures and groups of figures, horses, and carts–were shuffled and combined, reversed and reduced and expanded, to produce new variants at different scales and on different supports.</p>","June 20, 2012"
118,3011,"E.A. Honig","<p>Mediocre studio work. All the proportions of figures and animals slightly off, as if there were put together from drawings without thinking about resizing or space.</p>","November 29, 2015"
119,3012,"E.A. Honig","<p>Winkler, Durers Zeichnunen (1937), p.43. suggests that this could have been given as a gift by Maria of Bavaria in 1608 for the wedding of Maria Magdalena of Austria and Cosimo II of Florence. This painting is itself freely copied from Dürer's drawing ""The Great Calvary"" which is also in the Uffizi but was presumably in Prague when Brueghel was there in 1604.</p>","June 13, 2012"
120,3013,"E.A. Honig","<p>On Holy Water Stoup, of which this is part, see discussion for <a href=""/janbrueghel/procession-in-the-winter"">Procession in the Winter</a>. The present composition is related to the Munich Calvary of 1598. This work didn't enter Borromeo's collection until 1616 and Pijl says that it is indeed later than the other works in the ensemble, but Ertz still dates it to 1606 and does not explain why it took so long to reach Borromeo.</p>","June 18, 2012"
121,3014,"E.A. Honig","<p>Stiff copy (signed) in National Gallery of Victoria, Melbourne, photo RKD (copper, 35 x 55) -- page on wiki; slightly better copy formerly private collection, Warsaw (Graaf Prezdziecki) (copper, 46 x 60). </p><p>This work has been connected to a composition by Durer; although it would be 6 years before Jan would copy Durer's great Crucifixion drawing in Prague, the composition was evidently known in the Netherlands and had been used as a model for other works.</p>","June 9, 2012"
122,3016,"Paige Walker","<p>British Museum website: ""British Museum website: ""This drawing shows stylistic similarities with another pen and ink composition by Brueghel in the Kupferstichkabinett in Berlin (inv.no.5734; dated 1620); see M. Winner, 'Zeichnungen des Älteren Jan Brueghel', in Jahrbuch der Berliner Museen 3 (1961), Berlin, 1961, p.238; and K. Ertz, ""Jan Brueghel der Ältere: Die Gemälde"", Cologne, 1979, pp.180-181, fig.207.Literature: M. Winner, 'Zeichnungen des Älteren Jan Brueghel', in Jahrbuch der Berliner Museen 3 (1961), Berlin, 1961, p.240, n.111 (as a skilful copy; dismissing the rare yellow watercolour and the 'stick'-men unloading the sloop at left); exh.cat. Kupferstichkabinett Berlin, 1975 (omitted); K. Ertz, ""Jan Brueghel der Ältere: Die Gemälde"", Cologne, 1979, p.523, n.188; 'Dutch Landscape: The Early Years', exh.cat. National Gallery, London, 1986, cat.no.10.""</p>","August 3, 2013"
123,3018,"E.A. Honig","<p>For comments on Holy Water Stoup see entry on Procession in the winter. The present work is one of four Brueghel miniatures mounted together in that. Dating is not fixed; letters only show that it must have been done before 1616.</p>","June 18, 2012"
124,3018,"Claudia Insenga","<p>Letter to Borromeo, 13 March 1616. “d un ovato d’avorio di due bande, della passion di Cristo in figurette minime con la maggior accuratezza ch’ussasi mai in cosa alcuna” (Crivelli, pg. 224).</p>","May 5, 2016"
125,3021,"E.A. Honig","<p>There was a simplified copy on panel with dimensions 26 x 37 cm sold at Lepke on May 16, 1933.</p>","June 27, 2015"
126,3022,"E.A. Honig","<p>Another painting of a cattle market dated ""1612"" (panel, 56 x 85 cm) was sold in Amsterdam, Douwes, 1928, #4397.</p>","June 27, 2015"
127,3023,"E.A. Honig","<p>This is a lovely painting but (judging from reproductions) the landscape part is just so much less subtle and sophisticated than the Vienna painting to which it is compared. The landscape is not a great flat stage-set like that but a bumpy, hilly place which is more Vrancx-like. Jan Brueghel would also not do something so obvious as stick this little bunch of pathetic flowers smack dab in center, not at this point in his career. Another possible JB/Vrancx collaboration was sold Brussels 8-v-29 #128; photo at RKD. It is closer to the Vienna painting than this one is.</p>","July 16, 2013"
128,3024,"E.A. Honig","<p>Pijl and Ertz say that this work must have been done around 1605 as a long-distance collaboration. Borggrefe follows earlier writers in maintaining that the date is around 1595; he calls it Jan's first flower painting. It is not mentioned in the Brueghel/Borromeo correspondence. In his Musaeum Borromeo says it's by Rottenhammer and that Brueghel has ""added"" flowers.</p>","June 17, 2012"
129,3025,"E.A. Honig","<p>Other scholars had dated this to before 1600 but Ertz, citing Winner, says that there are motives in this painting that Jan must have picked up in Prague in 1604, in particular some buildings in the background city of Jerusalem. The subject is peculiar.  Zoege von Manteuffel has identified this scene as one when Christ answers questions from some apostles about fate of Jerusalem:  Mark 13:3 ff.  I find this the most convincing explanation, but for the debate see Ertz 2008-10, p.580.</p>","June 17, 2012"
130,3026,"E.A. Honig","<p>Note that in 1597-8, when Jan probably painted this work, the original would have been in the collection of Abraham Ortelius to whom Pieter Bruegel had left it in his will. Ortelius died in 1598. Note that the original work is quite small for a Pieter I, even slightly smaller than this copy.</p>","April 18, 2012"
131,3027,"Claire Baisier","<p>From CBaisier, Director of the Museum Mayer van den Berghe:<br />Manfred Sellink and Till Holger-Borgert saw the grisaille at TEFAF and in our museum, and confirm that it is work by Jan I Brueghel. The painting is a copy from the original work by Pieter I Bruegel dated 1565 in The Courtauld Gallery London. This painting was the only one that never left the family Bruegel, and was inherited by Jan I Brueghel.</p><p>Both sons made a lot of copies of the grisaille. All the 15 known paintings by Pieter II Brueghel are in colour [see Ertz 1998, pp. 380-386]. Specialists suppose he copied engravings. All the paintings by Jan I Brueghel seem to be in grisaille, and based on the original work of his father he had in his own collection .</p>","June 18, 2015"
132,3028,"Paige Walker","<p>According to Louisa Wood Ruby, this later painting includes Castel dell’Ovo, which seems to have been one of Jan Brueghel (I)'s preferred motifs, showing up in two of his drawings. His <a href=""/janbrueghel/view-of-the-castel-dellovo"">View of the Castel dell'Ovo</a> with its companion in the same collection <a href=""/janbrueghel/view-of-naples-harbor"">Harbor of Naples</a> has historically been considered evidence of Jan Brueghel (I)'s activity in Naples.  His earliest paintings, <a href=""/janbrueghel/christ-in-the-storm-christ-and-apostles-on-the-lake-of-tiberius-milan"">Christ in the Storm (Christ and Apostles on the Lake of Tiberius) (Milan)</a> and this painting of the same subject in the collection Thyssen-Bornemisza, Madrid of 1596, as well as two magnificent later paintings in Munich, <a href=""/janbrueghel/the-continence-of-scipio"">The Continence of Scipio</a> of ca. 1603 and the <a href=""/janbrueghel/large-fish-market-with-self-portrait"">Large Fish Market with Self Portrait</a> of 1603.""</p>","October 4, 2013"
133,3028,"E.A. Honig","<p>Bedoni (p.149) notes a copy that was formerly in the Melzi collection in Milan, presumably this picture. </p><p>This is an autograph version of the painting in the Ambrosiana; Pijl in Ambrosiana 2006 says that the Thyssen copy is inferior.<br />The gound layer is applied with fingers (fingerprints visible) to achieve smoother surface.</p>","June 6, 2012"
134,3029,"E.A. Honig","<p>The copper plate is inscribed with ""GALLIAE NARBONENSIS ORA MARITTIMA RECENTER DESCRIPTA"" on the back which indicates that it was intended to be used for engraving/printing a map.</p>","June 27, 2015"
135,3031,"E.A. Honig","<p>This must be the last of the three Colonna hell scenes. The architecture of the landscape, including the greatly expanded cavern in the lower right, relates to the later classical underworlds Jan would paint in Antwerp, and the collaboration with Rottenhammer suggests a later date as well. Ertz thinks that this work was executed by Jan alone but he had not examined the original, from which it is clear that there are two hands at work. The two artists used Albrecht Dürer's The Harrowing of Hell, or Christ in Limbo from the Engraved Passion; B.16, as the basis for their composition. Jan adapted the German master’s demons for those closest to hell’s gates, although the other devils come very much from his own repertoire.</p>","October 11, 2012"
136,3031,"E.A. Honig","<p>The story of Christ's descent into Limbo is not told in the New Testament but was taken from the Apostles' Creed as amplified by the apocryphal Gospel of Nicodemus.</p>","June 21, 2015"
137,3032,"E.A. Honig","<p>This work was formerly attributed by Ertz to Jan the Younger. Copy (with somewhat simplified background) in Bayerische Staatsgemaldesammlungen, inv. #6408 (copper, 22 x 28); is this the copy thought to be entirely by Rottenhammer? Page on wiki. Awful copy formerly art market, Vienna 1924 (copper, 26 x 33) from whence to private collection Chicago (Sam McDowell).  Variant in reverse sold London (Sotheby's 17.xi.82 #6), photo RKD. </p><p>Ertz 2008-10 notes (p.663-5) that there is an Allori Christ in Limbo from 1578 in the Galleria Colonna which he implies has been there since Jan was there and he could have been inspired by it. </p><p>Recent publications on this work have suggested that some of the tortured souls in this cavern at the lower right were also provided by Rottenhammer. In Jan’s previous images of Limbo he had executed the figures in this area himself; he would also copy and vary these figures in later works done without a collaborator. While it is not impossible that Rottenhammer, knowing the general lay-out of a Brueghel hellscape, could have added figures here, the woman in particular looks to me to have a Brueghel face.</p>","November 9, 2015"
138,3034,"Paige Walker","<p>According to the Fitzwilliam Museum website, this drawing was formerly assigned to Peter Paul Rubens.</p>","August 2, 2013"
139,3035,"E.A. Honig","<p>Ertz notes that there are two variants by Momper in which the staffage was done by Jan the Younger; these are illustrated in Ertz 2008-10, vol. 4, pp. 1380 & 1381. I do not believe this, however: the version in Paris, Gal. d'Art St. Honore, is a very inferior work that is by neither Momper nor Jan the Younger but by a copyist of a finished work. The version in Russia is much better yet the identical staffage is odd and makes me suspect that it is a full copy somehow as well, not a second collaboration.</p>","March 12, 2014"
140,3037,"Christine Liu","<p>This brick-arched street that ran from the Piazza SS. Giovanni e Paolo to the Via di S. Gregoria would provide a backdrop for mythological scenes and allegories throughout Jan’s career.</p>","November 2, 2013"
141,3037,"E.A. Honig","<p>There are numerous other drawings of this same site by other Northern artists: Willem van Nieulandt, Sebastiaen Vrancx, Tobias Verhaecht. Ruby suggests that they were all working from, or inspired by, a lost drawing by Matthijs Bril. See Ruby in Munich 2013, p. 41 and note 25.</p>","August 3, 2014"
142,3040,"E.A. Honig","<p>This work does not appear in the 1979 Ertz catalogue nor the Honig Database.<br />There is the mark of Pieter Stas on the back of the copper panel.<br />In addition, this work was reproduced as the frontispiece for the 2008 Ertz catalogue, volume I.</p>","June 13, 2015"
143,3042,"E.A. Honig","<p>I suspect that this must date a bit later than Ertz puts it, perhaps late 1590s. The shape and support would be incredibly aberrant for a Roman work, and most of the Roman works stayed for quite some time in Italy. </p><p>Related drawings in Albertina, inv. #8424 (doubted, I think, by Winner?) and Groningen, Museum voor Stadenlande, Inv. #1951-600.</p>","April 17, 2012"
144,3047,"E.A. Honig","<p>Although I have not seen this work myself, it fits with Jan's oeuvre in every way. It would be his unique treatment of this subject.</p>","October 25, 2014"
145,3048,"E.A. Honig","<p><a href=""/janbrueghel/country-road-allegory-of-autumn"">Country Road: Allegory of Autumn</a> is part of a four-part series of allegories of the seasons which Jan Brueghel painted circa 1594 (Ertz 2008-10). Please See:</p><ul><li><a href=""/janbrueghel/river-landscape-with-noble-party-in-boat-allegory-of-spring"">River Landscape with Noble Party in Boat: Allegory of Spring</a></li><li><a href=""/janbrueghel/the-harvest-allegory-of-summer"">The Harvest: Allegory of Summer</a></li><li><a href=""/janbrueghel/roman-carnival-allegory-of-winter"">Roman Carnival: Allegory of Winter</a></li></ul>","June 13, 2015"
146,3049,"E.A. Honig","<p>In his 1979 catalogue Ertz too voiced some doubt about the attribution of this work. I feel that there is somethng wrong with the space -- there are too many figures, some coming down a hill while others are going around it. Just too fussy for Jan's work.</p>","August 3, 2013"
147,3050,"E.A. Honig","<p>This work is kind of a pastiche.  The figure group  is definitely put together from other works, including i think the View of Schelle, and the pigs rooting around beside the road don't make any sense.  The whole scene doesn't make a lot of sense.  There was a drawing for the staffage figures on art market Vienna (Dorotheum) 1995.  Red chalk, 17.2 x 26.3.  The figures  here aren't his best work.  Wonder if there could be studio hands involved here?  Poss is there some sort of village with fair in backgound (which would help make sense of all this).</p><p>Two copies were on the art market in 1970, one with Gal. Flinck in Brussels and another with Christie's, London.</p>","November 29, 2015"
148,3051,"E.A. Honig","<p>I question this attribution because 1) its actually odd to have a work that relates to no other one; and 2) the dying tree doesn't seem like Jan.  Also, the attribution is based partly on a drawing, ostensibly dated 1610, which even Ertz has as a questionable attribution.  I'd feel better if Winner had accepted it [check that]. The same staffage is reused in a work in Enschede that  Ertz attributes to Jan the Younger and Momper, making me think that this drawing was some sort of pattern to be copied. There are some things really wrong with this drawing (proportions of cows) although to be fair they do not occur in the present painting.</p>","March 13, 2014"
149,3053,"E.A. Honig","<p>Not one of the Prado's better Jan Brueghels. It has sometimes been attributed to Jan the Younger. Note that the image currently on this website is trimmed on both left and right.</p>","July 10, 2013"
150,3054,"E.A. Honig","<p>One of the tiny coppers from this time, not the highest quality or most exciting, suggest that studio could have done some of these but probably they are indeed a group produced within his purview, not later copies.</p>","March 13, 2014"
151,3055,"E.A. Honig","<p>According to Ertz's provenance, the Spanish Royal Collection's inventory number was polished off when the painting was cleaned.<br />Ertz dates this 1610 in relation to his 216 to which is has no relation at all.  It is however clearly related to a drawing that Winner has dated 1619, so we will go along with that.  The drawing is in Brussels, MdBA, #484:  Winner 1961, p.210, fig.19.</p>","March 11, 2014"
152,3056,"E.A. Honig","<p>Poor related copy sold at R. H. Ward, London, on May 15, 1934 with a pendant of a village scene and windmill. Both of these works are attributed as Jan Brueghel II and both are works on copper with a dimension of 15 x 20.5 cm.<br />Poor variant formerly art market Monaco (Sotheby's 15/16.vi.90 #506), (panel, 17 x 20).   Another work related to that variant sold Stockholm, Anktrousverk, 22/23.v.01 #1401, (panel, 17 x 22).  Different variant formerly art market London: Koetser 1964 (copper, 12.1 x 17.8).<br />Variant in Dresden, dated same year, has fascinating relationship to this one:  it's as if he's walked to a different place and looked at the same pair of windmills from the front instead of from the back.  Query does this argue that there were real structures that he observed or that--as with Rembrandt and figural compositions--he was able to sort of spin things around in his imagination?  The Dresden painting is also on different support and much larger.</p>","March 15, 2014"
153,3056,"E.A. Honig","<p>Although this is now displayed as a pendant to Ertz #557 which shows the Archduke and Archduchess outside of Mariemont, the two works actuallly have different provenances and were thus not intended as pendants. They seem rather to both be part of a group of small-format pictures that Jan painted around this time; Munich catalogue reaches same conclusion. Query are these possibly the ones we know he did for Brussels (De Maeyer document)?</p>","March 14, 2014"
154,3059,"E.A. Honig","<p>Attribution is uncertain, landscape is too damaged to attribute clearly to Jan Brueghel and some scholars believe it to have been painted by followers of Jan and Jan van Balen.</p>","June 27, 2015"
155,3060,"E.A. Honig","<p>This seems to be the better of the two related images; the landscape and cityscapes are much more detail-filled and characteristic of Jan. I seems possible that the figure was actually painted by Jan himself in this case. This could be the version that was owned by his son Ambrosius and mentioned in his will of 1639: he leaves to David Teniers ""een zijn stucxken schilderij van onsen Salichmaecker aent cruys, gemaect door den voors. Jan Breughel.""</p>","June 29, 2013"
156,3061,"E.A. Honig","<p>Subject of this painting is actually a village kermis, which can be seen in the background, including a procession to the church. The dancing couples in the foreground are completely not derived from the Pieter Bruegel compositions he had been using up until then but I wonder if they are from German prints.</p>","June 11, 2012"
