"pid","label","first_name","last_name","birth_death","bio_text","bio_author","role","status_profession","order","layout","collection","thumbnail","full"
"bio33","Federico Borromeo","Federico","Borromeo","1564–1631","<p>Federico Borromeo was born in Milan in 1564 to Margherita Trivulzio and Count Giulio Cesare Borromeo. Upon his father’s death in 1572, he was placed under the custody of his older cousin, Carlo Borromeo. Carlo, then the Archbishop of Milan, wanted Federico to have an ecclesiastical career. He enrolled the young Borromeo in the Studio di Bologna and later at the Collegio Borromeo, where Federico was educated as a humanist. During his time in Bologna, he became interested the Jesuit religious order and, although Carlo did not allow him to join, he remained a deeply faithful man throughout his life. After Carlo’s death in 1584, Federico was pressured by their family to follow in his cousin’s footsteps by obtaining a political position within the church. He moved to Rome in 1586, where he would live for the next fifteen years, and was named a Cardinal by Pope Sixtus V in 1587. He remained in this position until Clement VIII appointed him Archbishop of Milan in 1595. In 1601, at thirty- seven years old, Federico moved to Milan permanently. As Archbishop, he was known to be heavily involved within his own diocese, which included overseeing reforms decreed by the Council of Trent. He lived in Milan until his death in 1631.</p><p>Federico’s spirituality developed fully during his time in Rome and remained with him throughout his life. In particular, he subscribed to what is known as “Christian optimism,” the belief that all things created by God, whether animate or inanimate, are essentially good. Borromeo especially believed that God’s physical creations and gifts were all that was necessary to save humanity. Thus the study of physical nature was enough to lead one to a contemplation of the divine and spiritual.</p><p>His interest in finding spirituality in the physical eventually led Borromeo to the art world during his time in Rome. He began as a Cardinal Protector of the Accademia di San Luca in 1593 and continued to support art throughout his life. Borromeo believed visual art could be used as an aid in devotional prayer and also as a stimulant of spirituality. The culmination of this belief was the foundation of the Ambrosiana in Milan in 1607. It was an institution that consisted of a library, art museum, and art academy, and that aimed to bring together Christian scholarship and the visual arts. The academy especially focused on training artists to create works that followed the decrees of the Council of Trent. When it opened the library had around 30,000 printed books and 15,000 manuscripts while the art museum had 172 paintings. The Ambrosiana is still in operation today, and its archive contains many manuscript letters from Brueghel to his patron.</p><p>Jan Brueghel the Elder was one of Borromeo’s favorite contemporary artists. The two men probably met in Rome in 1593 and Borromeo soon began to commission works by the painter, continuing to be a patron for the rest of his life. Borromeo was especially taken with Brueghel’s landscapes and still lifes. He acquired his first work, Landscape with a Hermit Reading and Ruins, in 1596 and his second shortly thereafter in 1597. Borromeo’s fascination with landscapes arose from his Christian optimist beliefs. Nature was a way to become closer to God, because He could be found in all that He had created. Paintings of nature could substitute as an object of spiritual contemplation during the winter or in an urban environment. Brueghel probably traveled to Milan in his patron’s company when Borromeo moved there, although he stayed with him only for a few months. After Brueghel’s return to Antwerp, Borromeo continued to obtain paintings from him. Most famously, it was at Borromeo’s suggestion that Brueghel developed the genre of flower garlands around devotional images of the Virgin Mary, with collaborators Van Balen or Rubens executing the central imagery. Borromeo made it clear that Brueghel’s garland was the greater source of spiritual fulfillment. Borromeo would eventually own twenty-nine works by Brueghel that now hang in the Ambrosiana Museum that he founded.</p><p>At the Ambrosiana art academy, Brueghel's paintings were used as models for students. Borromeo particularly praised the Four Elements series he had commissioned from Brueghel, as well as Brueghel’s other works, because of their attention to minute detail. Because of his dedication as a patron and collector, Borromeo’s Musaeum is a key primary source on Brueghel. He also collected landscapes by Paul Bril and commissioned a single still life from Caravaggio. All of these works supported Borromeo’s belief that the more accurate the representation of God’s creations, the closer one would be to Him. </p>","Ximena Valdarrago","patron","cardinal/prelate",1,"biography_item","biographies","/img/derivatives/simple/bio33/thumbnail.jpg","/img/derivatives/simple/bio33/fullwidth.jpg"
"bio34","Pieter De Jode","Pieter","De Jode","1570-1634","<p>Pieter De Jode was a sixteenth and seventeenth-century Flemish printmaker and publisher.</p>",,,"publisher, printmaker",17,"biography_item","biographies","/img/derivatives/simple/bio34/thumbnail.jpg","/img/derivatives/simple/bio34/fullwidth.jpg"
"bio35","Tobias Verhaecht","Tobias","Verhaecht","1561–1631","<p>Tobias Verhaecht was a Flemish painter best-known for his landscape paintings. He was the first teacher of Rubens, though their relationship was brief. </p><p>Verhaecht specialized in the traditional style of “world landscape,” for which Pieter Brueghel the Elder was well-known, and also completed several paintings of the Tower of Babel, which contain figures by Jan Brueghel the Elder or his studio. Early in his career, Verhaecht was active in Florence, where he worked under the patronage of Francesco I, Grand Duke of Tuscany. In 1590, he joined Antwerp’s Guild of Saint Luke and was appointed as deacon several years later. In 1594, Archduke Ernst of Hungary commissioned Verhaecht to design the decorations for his triumphal entry into Antwerp. </p><p>Like his father, Verhaecht was active in the Gillyflower, a rhetorician’s chamber in Antwerp. In 1620, he wrote a comedy for them and provided two complete costumes for the chamber’s torch-bearers. </p><p>Verhaecht was married twice and had five children. He married Suzanna van Mockenborch, a distant relative of Rubens, in 1591. He married Esther Pamphi in 1596, a year after Suzanna’s death. </p>","Rigby Philips","collaborator","painter",50,"biography_item","biographies","/img/derivatives/simple/bio35/thumbnail.jpg","/img/derivatives/simple/bio35/fullwidth.jpg"
"bio36","Paul Bril","Paul","Bril","1554–1626","<p>Paul Bril was a sixteenth-century Netherlandish artist who is today most famous for his influence on Italian landscape art. Bril was born in 1553, in either Breda or Antwerp. His father was the painter Matthijs Bril and his brothers were Matthijs and Peter Bril. At age fourteen, Bril was apprenticed under Damiaen Ortelmans, with whom he worked mostly as a background painter. In 1574, Bril left Antwerp and traveled throughout the Netherlands and France. He eventually reunited with his artist-brother Matthijs in Rome around 1582. Despite Matthijs’ unexpected death in 1583, Bril made the city his home until his own death about four decades later. It was here that Bril was able to establish what would grow to be a prolific and successful career as a painter. In 1592, he married Ottavia Sbarra and the pair had eight children, three of whom survived into adulthood. Bril accumulated honors, wealthy patrons, and prestigious commissions. As one of the few Netherlandish artists who resided permanently in Rome, he also had a lasting impact on Italian art. He died on October 7, 1626 at 72 and was buried in the Santa Maria dell'Anima alongside his brother.</p><p>Bril developed his style during a crucial time for landscape art. Among critics, the genre was regarded as one of the lower art forms and did not receive much attention or acclaim. In the art market, however, it was increasingly popular. Bril was inspired by the generation of Netherlandish artists that had come before him, including Matthijs Cock, Cornelis Massys, Hieronymus Cock, and especially Pieter Bruegel the Elder. But Bril also developed an elegant individual style that distinguished him from his contemporaries. His works are notable for their thin lines, subtle use of color, and deft handling of light. He was almost exclusively a landscape artist and his some of his favorite themes were rivers, seacoasts, and the forest interiors also favored by Jan Brueghel. Bril’s technique can also be seen as a response to his brother Matthijs’ style.</p><p>Bril was highly acclaimed during his lifetime and was commercially successful. He received a number of high-profile church commissions and was a ranking member in the Academia di S. Luca, the brotherhood of Sta. Maria in Campo Santo, and the Pontifical Academy of Fine Arts and Letters of the Virtuosi al Pantheon. He worked with many of the notable artists of his generation, including Hans Rottenhammer, Adam Elsheimer, and Jan Brueghel the Elder. His relationship with Brueghel was especially significant to the development of his art and it was through their friendship that Bril was exposed firsthand to Pieter Brueghel’s work. Bril was fourteen years older than Brueghel and he introduced the young artist to a number of techniques that would go on to define his style. The pair remained in contact throughout their lives.</p>","Ximena Valdarrago","collaborator","painter",3,"biography_item","biographies","/img/derivatives/simple/bio36/thumbnail.jpg","/img/derivatives/simple/bio36/fullwidth.jpg"
"bio37","Giulio Cesare Procaccini","Giulio Cesare","Procaccini","1547–1625","<p>Giulio Cesare Procaccini was an Italian artist born in Bologna who worked mostly in Milan. Likely trained under Francesco Brambilla, Procaccini was a skilled sculptor who worked for several years on facades and statues for Milan’s Cathedral, Santa Maria presso San Celso, and the Cremona Cathedral. </p><p>Around 1600, Procaccini shifted his focus from sculpting to painting. He painted frescoes in cathedrals across Milan. </p><p>While Procaccini’s late stylistic choices mirror earlier styles of art, his use of drapery and light set his work apart from preceding periods. He was heavily influenced by mannerism-- the chosen style of his father, Ercole Procaccini the Elder-- and Venetian colorism, and his latest works seem to anticipate Baroque style. He collaborated with Jan Brueghel on <em>Garland with the Virgin and Child and two Angels</em> in 1619. </p>","Rigby Philips","collaborator","painter",7,"biography_item","biographies","/img/derivatives/simple/bio37/thumbnail.jpg","/img/derivatives/simple/bio37/fullwidth.jpg"
"bio38","Hendrick van Steenwyck the Younger","Hendrick","Van Steenwyck the Younger","1580/82–1649","<p>Hendrick van Steenwyck was born in Antwerp around 1581 as the son of the painter Hendrick van Steenwyck the Elder. His mother was a member of the Valckenborch family of artists and he was raised alongside his Valckenborch cousins. He became a pupil of his father and, after the family settled in Frankfurt, was also influenced by Adam Elsheimer. By 1604, Hendrick II was an established painter but not much is known about where he lived and worked until he arrived at London in 1617. There he married Susanna Gaspoel, who would herself become an artist. The couple remained in London until 1637, when they resettled in the Netherlands. The exact date of Steenwyck’s death is not known but it is likely 1649, the date of his last known painting and the year Susanna was listed as a widow in a public document.</p><p>Steenwyck’s early style is similar to that of his father, and he too became known for his architectural interiors. Many of his earlier interiors are based loosely on either Antwerp’s cathedral or its Jesuit church. We do not know the reason for his move to London but art historians have speculated that because his subject matter was so specialized, he continually needed to search for new clients and patrons; thus London’s growing reputation as a center for high art would have appealed to him. Steenwyck had many important British patrons, including the Earl of Arundel, King James, Queen Anne, and Prince Charles, even at a time when aristocratic circles tended to prefer Italian art. In London he worked with Daniel Mytens, Inigo Jones, and Anthony van Dyck; later, he would also work with Theodor van Thulden, Frans Francken II, Cornelis Poelenburgh, and Orazio Gentileschi. He would even work with his own wife Susanna van Steenwyck, nee Gaspoel, and he continued to paint until his death in 1649.</p><p>Like his father, Steenwyck had ties to the Brueghel family of artists. It is likely that in 1609 he asked Jan Brueghel the Elder to add figures to a few of his late father’s paintings. In that year, added figures to an Interior of a Gothic Church by the elder Steenwyck before selling the picture to his own patron, Federico Borromeo. Brueghel and the younger Steenwyck went on to collaborate on many more works, Brueghel adding figures into his colleague’s painted church interiors.</p>","Ximena Valdarrago","collaborator","painter",47,"biography_item","biographies","/img/derivatives/simple/bio38/thumbnail.jpg","/img/derivatives/simple/bio38/fullwidth.jpg"
"bio39","Hendrick van Steenwyck the Elder","Hendrick","Van Steenwyck the Elder","ca. 1550–1603","<p>Hendrik van Steenwyck the Elder was born in 1550 in the Dutch town of Kampen, in the province of Overijssel. As a young man in the 1560s, he moved to Flanders in the pursuit of an artistic career. Van Steenwyck intended to settle in Antwerp but as Protestants, he and his family were forced to relocate to Aachen, where he would live until 1576. In 1573, he married Helena Heylwich, who was part of the Valckenborch family of artists. They would go on to have thirteen children. After the Pacification of Ghent, Van Steenwyck returned to Antwerp in 1577 until he was forced to leave again after the city was retaken by the Spanish. To avoid religious persecution, Van Steenwyck and his family moved to Frankfurt, Germany in May of 1586, where they finally settled. Van Steenwyck became a freeman of the city in June 7, 1587. He would work and remain there until his death in 1603 and he is buried in a Lutheran cemetery in Frankfurt.</p><p>During his time in Aachen, Steenwyck studied with painter Hans Vredeman de Vries, learning about perspective and the representation of architecture. When he arrived at Frankfurt, he was able to secure the patronage of Ernst-Friedrich, Margrave of Baden-Durlach, for whom he painted mainly ceiling pictures. His first foray into exterior architectural scenes was in 1588. Steenwyck had at least one pupil, Pieter Neeffs the Elder. His oldest son, Hendrick van Steenwyck II, would also have a prolific artistic career in the same specialty as his father.</p><p>Van Steenwyck collaborated with many other artists including Hans Vredeman de Vries, Gillis Mostaert, Frans Francken, the Valckenborch family, and Jan Brueghel. It is not certain when Steenwyck and Jan began to collaborate, or if they worked together at all during Steenwyck’s lifetime; but by 1609, Brueghel was painting figures into some of the deceased Van Steenwyck’s pictures, probably at the request of his son, Hendrik II.</p>","Ximena Valdarrago",,,46,"biography_item","biographies","/img/derivatives/simple/bio39/thumbnail.jpg","/img/derivatives/simple/bio39/fullwidth.jpg"
"bio4","Hans III Jordaens","Hans III","Jordaens","1590–1643",,,,,29,"biography_item","biographies","/img/derivatives/simple/bio4/thumbnail.jpg","/img/derivatives/simple/bio4/fullwidth.jpg"
"bio40","Adriaen van Stalbemt","Adriaen","Van Stalbemt","1580–1662","<p>Because he was born to a Protestant family, Flemish painter and printmaker Adriaen van Stalbemt has no baptismal record. However, biographer Cornelius de Bie places his birthdate on June 12th, 1580. When he was five years old, Stalbemt’s family moved from Antwerp to Middleburg, where his formal training is believed to have taken place. Stalbemt returned to Antwerp in 1609. In 1610, he was admitted to the Guild of St. Luke, which he became dean of in 1617. Stalbemt married Barbara Verdelft on May 5th, 1613. The couple had one daughter who died in her youth. </p><p>Known for his ability in painting landscapes, staffage, and animals, Stalbemt is regarded as one of the more skilled imitators of Jan Brueghel the Elder. He is recorded as having a student in 1616 by the name of Hans Mesmaeckers. In 1618, he collaborated with Pieter Brueghel the Younger on a painting of David Slaying Goliath. His movements have been traced to London where he stayed for about ten months in 1633 after being invited by King Charles I. There, he painted two landscapes with the king and Queen Henrietta Maria. He died on September 21st, 1662.</p>",,,,45,"biography_item","biographies","/img/derivatives/simple/bio40/thumbnail.jpg","/img/derivatives/simple/bio40/fullwidth.jpg"
"bio41","Hieronymus Francken the Younger","Hieronymus","Francken the Younger","1568–1623","<p>Hieronymus Francken the Younger was a sixteenth and seventeenth-century Flemish painter.</p>",,,,22,"biography_item","biographies","/img/derivatives/simple/bio41/thumbnail.jpg","/img/derivatives/simple/bio41/fullwidth.jpg"
"bio42","Pieter van Avont","Pieter","Van Avont","1600–1652","<p>Pieter van Avont, baptized January 14th, 1600, in the Antwerp province of Mechelen, was a Flemish painter, printmaker, draughtsman, and art dealer. The son of sculptor Hans van Avont, Pieter’s early life is somewhat unknown. However, in 1622, it is recorded that he married Catherine van Hertsen. Later that year, he was accepted into the Guild of St. Luke in Antwerp, where he remained on the roster until his death. His paintings, which included religious and allegorical themes, are marked by recurring depictions of children and putti. He is also known to have done some landscape painting. One of van Avont’s more famous pieces is a collaboration executed with Jan Brueghel the Elder, a garland painting created in 1623: The Holy Family in a flower and fruit garland. Van Avont’s contribution were the figures of the Holy Family.</p><p>Unable to sustain himself financially through his own artworks, van Avont became a dealer in paintings and prints. He also served as the captain of a local militia from 1633 to 1639. He is known to have had three pupils; Peeter van den Cruys from 1624 to 1625, Frans Wouter from 1629 to 1634, and Pieter Wouter from 1631 to 1632. On September 3rd, 1643, his wife Catherine died, and within a few months, he was remarried. In that marriage he fathered five children. His second marriage was also marked by financial ruin, causing him to sell seven of his homes and mortgaging his primary residence. He was buried on November 1st, 1652.</p>","Saffron Sener","collaborator","painter, printmaker, art dealer",41,"biography_item","biographies","/img/derivatives/simple/bio42/thumbnail.jpg","/img/derivatives/simple/bio42/fullwidth.jpg"
"bio43","Denis van Alsloot","Denis","Van Alsloot","1570–1628",,,,,40,"biography_item","biographies","/img/derivatives/simple/bio43/thumbnail.jpg","/img/derivatives/simple/bio43/fullwidth.jpg"
"bio44","Gillis Coninxloo","Gillis","Coninxloo","1544–1607","<p>Gillis van Coninxloo was a seventeenth-century Flemish painter.</p>",,,,12,"biography_item","biographies","/img/derivatives/simple/bio44/thumbnail.jpg","/img/derivatives/simple/bio44/fullwidth.jpg"
"bio45","Jacob de Backer","Jacob","De Backer","ca. 1560–1590/91","<p>Very little is known of Flemish painter Jacob de Backer. With no set birthdate or death date, de Backer is thought to have lived from around 1555 to 1585. He is believed to have lived all of his life in Antwerp. Flemish biographer Karel van Mander wrote that de Backer was born to a painter who abandoned him as a child. Van Mander then describes that he worked for a large portion of his life in the studio of painter and art dealer Antonio van Palermo until moving to the workshop of Hendrick van Steenwijck the Elder. Van Mander even hypothesizes that it was the overwork de Backer experienced while under van Palermo that led to his premature death.</p><p>Though de Backer has a large body of work attributed to him, only three pieces have been traced back with absolute certainty to the artist. The others were credited on the basis of technique and style displayed in the original three or through contemporary biographies that describe his extended oeuvre. These works number in the hundreds and typically depict allegorical themes in the Mannerist style of Rome and Florence, though there is no indication that de Backer ever traveled to those places. De Backer collaborated with Jan Brueghel the Elder to create The Judgement of Midas.</p>","Saffron Sener","collaborator","painter",14,"biography_item","biographies","/img/derivatives/simple/bio45/thumbnail.jpg","/img/derivatives/simple/bio45/fullwidth.jpg"
"bio46","Frans Snyders","Frans","Snyders","1579–1657","<p>Frans Snyders was a Flemish painter most noted for his work in still life and animal imagery. Born in 1579 to Jan Snyders, a wine merchant, and his wife Maria, Frans was one of five children to the couple. At age fourteen, his parents apprenticed him to Pieter Brueghel the Younger, with whom he stayed for four years learning the techniques of 16th- and 17th- century Flemish artistry. During this time, Frans became close friends with Jan Brueghel, who ultimately became the young man’s mentor. Aiding him in his search for patronage, Jan Brueghel pushed the burgeoning artist into the practice of painting animals and still-life; as time progressed, this became Snyders’ specialty and trademark. In 1602, at age twenty-three, Synders joined the Guild of Saint Luke in Antwerp, which at the time was under the joint diaconate of Jan Brueghel and Otto Van Veen. By 1609 he had traveled to Milan under the instruction of Brueghel, visiting Brueghel’s patron Federico Borromeo there. Upon his return to Antwerp, he began his own shop and apprenticeship program (though he only took on three apprentices in his lifetime). From 1610 on, Snyders and his work rose in popularity and value; Brueghel himself noted in a letter that his mentee was encumbered with labor, had carved out a particular fame for himself in the field, and was able to increase prices with the exponential bettering of his work. In 1611, Snyders married Margriet de Vos, and though they had no children, the couple remained together until her death in 1647. In June of 1619, the Brotherhood of the Romanists elected him onto their confraternity, of which there were only twenty-five members. By the ninth year of his membership, Snyders had begun serving as Dean for the group. Snyders’ patrons and buyers were typically persons of wealth, social rank, and political clout. Some included Sir Dudley Carleton, the Duke of Buckingham, the Marquis of Leganés, Archdukes Albert and Isabella, the Estates General of France, and the Municipality of Antwerp itself. Snyders died on August 19th, 1657, aged seventy-eight. He left behind a considerable estate of more than 50,000 guilders, a large collection of art, and general wealth willed to close relatives and to the poor.</p><p>By Saffron Sener</p>","Saffron Sener","collaborator","painter",38,"biography_item","biographies","/img/derivatives/simple/bio46/thumbnail.jpg","/img/derivatives/simple/bio46/fullwidth.jpg"
"bio47","Otto van Veen","Otto","Van Veen","ca. 1556–1629","<p>Born in 1556, Otto van Veen was a prominent Flemish painter, poet, and draughtsman based in Antwerp. Also known by the Latin forms of his name, Octavius Vaenius and Otto Venius, he began his artistic career by serving as an apprentice to Isaac Claesz Swanenburgh until 1572. Next, Van Veen transferred to the studio of Dominicus Lampsonius and Jean Ramey, where he remained as an apprentice until 1575, when he embarked on a five-year trip through Italy. His movements are somewhat unclear during this time, but it is known that Van Veen returned to Munich in 1580. By 1585 he was back in Brussels and had been appointed court painter of Alexander Farnese, the Duke of Parma. This position lasted until his move to Antwerp in 1592, where worked to meet the high demand for altarpieces and other church decorations; it was also during this time that he started his own workshop. One of his most notable students was Peter Paul Rubens, who was an apprentice in Van Veen’s studio from around 1595 to 1598. In 1593, he became a master in the Guild of St. Luke. Soon he began to aid Archduke Ernest of Austria in the acquisition of artwork by distinguished local painters, including pieces by Hieronymus Bosch and Pieter Bruegel the Elder. In the late 16th and early 17th century, he collaborated with Jan Bruegel the Elder in works that may include a Battle of the Amazons and Crucified Christ Before Jerusalem. During this period, he was also active in the production of emblem books, works containing allegorical pictures and matching texts, in which his humanist values were illustrated. In addition to this, van Veen created many works for Archdukes Albert and Isabella and served as dean for the Guild of St. Luke in 1602 and for the Romanists in 1606. In 1615, he moved to Brussels where he became a member of the local painter’s guild; on May 6th, 1629, he died at age 73.</p>","Saffron Sener","collaborator","painter",49,"biography_item","biographies","/img/derivatives/simple/bio47/thumbnail.jpg","/img/derivatives/simple/bio47/fullwidth.jpg"
"bio48","Sebastiaen Vrancx","Sebastiaen","Vrancx","1573–1647","<p>Sebastiaen Vrancx was a sixteenth and seventeenth-century Flemish painter and draughtsman.</p>",,,"painter",53,"biography_item","biographies","/img/derivatives/simple/bio48/thumbnail.jpg","/img/derivatives/simple/bio48/fullwidth.jpg"
"bio49","Hendrick de Clerck","Hendrick","De Clerck","1570–1629/30","<p>Hendrick de Clerck was a sixteenth and seventeenth-century Flemish painter.</p>",,,"painter",15,"biography_item","biographies","/img/derivatives/simple/bio49/thumbnail.jpg","/img/derivatives/simple/bio49/fullwidth.jpg"
"bio5","Antoon Goetkint","Antoon","Goetkint",,,,,,25,"biography_item","biographies","img/derivatives/simple/bio5/thumbnail.jpg","img/derivatives/simple/bio5/fullwidth.jpg"
"bio50","Frans Francken the Younger","Frans","Francken the Younger","1581–1642","<p>Frans Francken the Younger was born in Antwerp in 1581 to painter Frans Francken the Elder and Elisabeth Mertens. He was exposed to the Flemish art world from an early age by his father, Frans the Elder, and his uncle, Hieronymus Francken. Alongside his older brother, Hieronymus II, he trained under his father in Antwerp and under his uncle in Paris. As a young man in 1605, he became a master at the Guild of St. Luke, and would go on to hold a number of high-ranking positions in the guild, eventually becoming deacon in 1616. By 1607, he had his own workshop; and in November of that year, he married Elisabeth Plaquet. The couple would have nine children and at least two of their sons, Frans III and Hieronymus III, would become painters themselves. Francken enjoyed a critically and commercially successful career and had a significant role in the development of early seventeenth-century Flemish art. He died on May 6, 1642, having cemented his family’s artistic legacy and secured his own.</p><p>Francken was a highly prolific artist and sold originals as well as copies and prints of his works. Though Francken was a technically skilled artist, it was his development of new subject matter that had the most profound effect on Flemish art. While his output included many traditional subjects with historical, allegorical, and religious themes, he is best known for his invention of several new genres. Among these are his famous “monkey kitchen” works, which present traditional genre scenes acted out by monkeys. These usually had some sort of moral message or were read as commentary on human society. Francken was also the inventor of the “art collection” picture or paintings that depicted other works of art. He finished the first of these in 1914. It was this predilection for strange and offbeat subjects that would make Francken such a popular figure in the Flemish art market.</p><p>Francken worked with a number of collaborators, including Tobias Verhaecht, Abraham Govaerts, Hans Jordaens III, Hendrik van Steenwijk I, and his brother, Hieronymus Francken. Among his collaborators was also Jan Brueghel the Elder. Francken had been influenced by Jan’s father, Pieter Bruegel, and he in turn acted as an inspiration for Jan. The younger Brueghel was interested in Francken's unconventional themes and compositions, and often contributed flowers and other background details to Francken’s paintings. It can be assumed through their numerous collaborations that they had a close working relationship. Jan was particularly engaged by Francken’s imaginary art gallery paintings, in which Francken often depicted artworks similar to those Jan was painting, so that Francken’s pictures represent a dialogue of ideas between the two artists.</p>","Ximena Valdarrago",,,21,"biography_item","biographies","/img/derivatives/simple/bio50/thumbnail.jpg","/img/derivatives/simple/bio50/fullwidth.jpg"
