pid,janonly,related_html,related_ids,label,object_type,genre,tags,realdate,height_cm,width_cm,diameter_cm,plate_dimensions,support,drawing_medium,signature,signature_location,support_marks,further_inscription,collaborators,collaborator_notes,collectors_patrons,print_type,print_notes,printmaker,publisher,states,our_attribution,other_attribution_authorities,ertz_1979,ertz_2008,bailey_walker,hollstein_no,collection_type,location_country,location_city,location_collection,location_or_most_recent_sale_notes,provenance,bibliography,exhibition_history,related_works,copies_and_variants,curatorial_files,external_resources,biblio,order,layout,collection,thumbnail,full
3062,,<a href='/brughel/3405'><img src='/img/derivatives/simple/3405/thumbnail.jpg' /></a>,3405,Dancers at a Village Wedding with the Bride Seated at a Table Beyond,Drawing,"Urban, Common and Peasant Life",Dancing Wedding Forest Peasants,ca. 1597,24.1,37.9,,,Paper,"Pen and brown ink with brown wash, over black chalk, indented for transfer",,,,,,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #LOND.BM.21,,,LOND.BM.21,,Public,England,London,British Museum,"RN 1880,0214.25",6834|6835|6836|6837,"Bastelaer/Loo 1907, vol. 1, p. 84, note 1; Bastelaer 1908, p. 65, nr. 212; Popham 1932, p. 146-7, nr. 12, ill.; Manchester 1963, p. 50, nr. E 28; Manchester 1965, nr. 52; Marlier 1969, p. 116 ff., fig. 117; Gerszi 1971, nr. 35; Berlin 1975, p. 87-8, nr. 101, pl. 136 (as Jan Brueghel the Elder after Pieter Bruegel); Ertz 1979, nr. 39, p. 564; Essen/Vienna 1997-98, p. 124, fig. 2 (as by a follower of Brueghel)","Manchester 1963, nr. E 28|Manchester 1965, nr. 52|Berlin 1975, nr. 101",3405,,,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=712561&partId=1&searchText=1880%2C0214.25&view=list&page=1,"{% cite 8757 %} p. 65, nr. 212, {% cite 8524 %}  p. 146-7, nr. 12, ill., {% cite 8074 %} p. 50, nr. E 28, {% cite 9204 %} nr. 52, {% cite 9317 %}  p. 116 ff., fig. 117, {% cite 9004 %} nr. 39, p. 564, {% cite 8236 %} p. 124, fig. 2",165,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3062/thumbnail.jpg,img/derivatives/simple/3062/full.jpg
3063,,<a href='/brughel/3505'><img src='/img/derivatives/simple/3505/thumbnail.jpg' /></a>,3505,Dancing Peasants on a Roadway,Painting,Landscape,Dancing Traveling Cattle Dog Horse Forest Burghers Road Wagon,1610,33,50.8,,,Copper,,BRUEGHEL 1610,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #41, Ertz 1979, #219, Honig database",219,41,,,Private,,,,"London, Christie's, July 8, 2008, inv. #29",4916|4917,"Ertz 1979 cat. #219, fig. 298; Ertz 2008-10, cat. #41",,3505,,,,"{% cite 9004 %} cat. #219, fig. 298, {% cite 8900 %} cat. #41",166,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3063/thumbnail.jpg,img/derivatives/simple/3063/full.jpg
3064,,<a href='/brughel/3065'><img src='/img/derivatives/simple/3065/thumbnail.jpg' /></a>,3065,Daniel in the Lions&apos; Den (Milan),Painting,Religious,Horse Bridge Castle Borromeo Forest Mountain River Burghers Children Soldiers Old_Testament,1610,28.5,38.5,,,Copper,,BRUEGHEL 1610,,,,,,Federico Borromeo (1564-1631),,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #216, Ertz 1979, #72, Honig database",72,216,,,Public,Italy,Milan,Ambrosiana,inv. #62,4918,"Ertz 1979, cat. #72, fig. 128; Pijl in Ambrosiana 2006, #199, pp.95-96; Ertz 2008-10, cat. #216",,3065,,,http://www.ambrosiana.eu/cms/daniele_nella_fossa_dei_leoni-1585.html,"{% cite 9004 %}  cat. #72, fig. 128, {% cite 8900 %} cat. #216",167,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3064/thumbnail.jpg,img/derivatives/simple/3064/full.jpg
3066,,,,Dead Animals in a Wooded Landscape,Oil Sketch,Study,,ca. 1620-ca. 1627,50,75,,,Panel,,monogrammed 'LVV 1627' (Lucas van Uden); mark of guild of Antwerp and brand of panel manufacturer (Guilliam Gabron) on reverse,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #584b",,584,,,Public,Russia,St. Petersburg,The Hermitage,,4920|4921|4922|4923,"Ertz 1984, cat. #323; Gritsay-Kossolapov 2006, p. 35; Ertz 2008-10, Cat. 584b",,,,,,"{% cite 8067 %} cat. #323, {% cite 8900 %} Cat. 584b",169,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3066/thumbnail.jpg,img/derivatives/simple/3066/full.jpg
2890,,<a href='/brughel/2894'><img src='/img/derivatives/simple/2894/thumbnail.jpg' /></a>|<a href='/brughel/3301'><img src='/img/derivatives/simple/3301/thumbnail.jpg' /></a>,2894|3301,Aeneas and Sibyl in the Underworld (Amsterdam),Painting,Classical Mythology,Fire Nude Demons Hell/Underworld Classical History Mythological,ca. 1596,25.5,34.3,,,Copper,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #334, Honig database as Jan and studio",,334,,,Private,,,,"Amsterdam, Salomon Lillian Gallery",4468|4469,"Ertz 2008-10, cat. #334",,2894|3301,,427|428|429,,{% cite 8900 %} cat. #334,17,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2890/thumbnail.jpg,img/derivatives/simple/2890/full.jpg
3067,,,,Deer Hunting in the Forest,Painting,Landscape,Hunting Traveling Deer Dog Horse Forest Burghers Road Wagon,1605-1610,25,36.4,,,Copper,,B(R)UEGHEL,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #63, Honig database as uncertain, possibly studio",,63,,,Public,Germany,Schwerin,Staatliches Museum,inv. #2378,4924,"Ertz 2008-10, cat. #63",,,,,,{% cite 8900 %} cat. #63,170,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3067/thumbnail.jpg,img/derivatives/simple/3067/full.jpg
3069,,<a href='/brughel/3347'><img src='/img/derivatives/simple/3347/thumbnail.jpg' /></a>,3347,Destruction of the Five Cities (Lot and his Daughters Fleeing Sodom) (Milan),Painting,Religious,Traveling Bridge Castle Ruins Borromeo Coast Fire Harbor River Burghers Angels Old_Testament,ca. 1595,26.4,35.6,,,Copper,,,,,,,,Federico Borromeo (1564-1631),,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #210, Ertz 1979, #25, Honig database",25,210,,,Public,Italy,Milan,Ambrosiana,inv. #75/28,4929,"Ertz 1979, cat. #25, fig. 137, p. 131, 448; Pijl in Ambrosiana 2006, #193d; Ertz 2008-10, cat. #210",,3347,,,,"{% cite 9004 %} cat. #25, fig. 137, p. 131, 448, {% cite 8900 %} cat. #210",172,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3069/thumbnail.jpg,img/derivatives/simple/3069/full.jpg
3070,,<a href='/brughel/3811'><img src='/img/derivatives/simple/3811/thumbnail.jpg' /></a>,3811,Diana&apos;s Nymphs After Fishing,Painting,Classical Mythology,Birds Deer Dog Fish Snyders Van_Balen Forest River Nude Classical Mythological Flowers Musical_instruments,ca. 1621,51,80.5,,,,,,,Brand of Michiel Vriendt,,"Frans Snyders (1579-1657), Hendrick van Balen (1575-1632)",Possibly Frans Snyders,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #349, Ertz 1979, #375, Honig database as Jan and studio",375,349,,,Public,Germany,Munich,Alte Pinakothek,"inv. #1950 (presently Neuburg an der Donau, Staatsgalerie, inv. #1950)",4930|4931,"Van Gool 1750/51, vol. 2, p. 561; Ertz 1979, cat. #375, fig. 480; Werche 2004, cat. #A.83; Ertz 2008-10, cat. #349; Munich 2013, p. 364, cat. #81","Munich 2009, cat. #12|Stockholm 2010, cat. #41|Munich 2013, cat. #81",3811,,496|497|498|499,,"{% cite 9004 %} cat. #375, fig. 480, {% cite 8912 %} cat. #A.83, {% cite 8900 %} cat. #349, {% cite 8739 %} p. 364, cat. #81",173,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3070/thumbnail.jpg,img/derivatives/simple/3070/full.jpg
3071,,,,Diana&apos;s Nymphs After the Hunt,Painting,Classical Mythology,Birds Dog Swine Van_Balen Pendant Forest Classical History Landscape Mythological Flowers Musical_instruments,ca. 1621,59,80,,,Panel,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #354, Ertz 1979, #373, Honig database",373,354,,,Public,Germany,Munich,Alte Pinakothek,inv. #850,4932|4933|4934,"Zoege van Manteuffel 1923, p. 10; Ertz 1979, cat. #373, fig. 478; Werche 2004, cat. #A 80, p. 165; Ertz 2008-10, cat. #354; Munich 2013, p. 368, cat. #82","Munich 2013, cat. #82",,,,,"{% cite 9004 %} cat. #373, fig. 478, {% cite 8912 %} cat. #A 80, p. 165, {% cite 8900 %} cat. #354, {% cite 8739 %} p. 368, cat. #82",174,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3071/thumbnail.jpg,img/derivatives/simple/3071/full.jpg
3072,,,,Diana After the Hunt,Painting,Classical Mythology,Hunting Birds Deer Dog Donkey Swine Rubens Forest Classical Mythological Musical_instruments,1620,63,98,,,Panel,,BRUEGHEL 1620,,,,,Possibly Rubens' studio,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #352, Ertz 1979, #356, Honig database as Jan and studio, Van Mulders 2000 as Rubens, Brueghel, and Frans Snyders",356,352,,,Public,Germany,Munich,Alte Pinakothek,"inv. #842 (presently Neuburg a.d. Donau, Staatsgalerie)",4935,"Jost 1963, p. 126, note 131; Müller Hofstede 1968, p. 218, fig. 12; Müllenmeister 1978, p. 43; Ertz 1979, cat. #356, fig. 472, pp. 394, 400, 406; Ertz 2008-10, cat. #352","Essen/Vienna 2002, cat. #8|Kassel 2004, cat. #150|Munich 2013, cat. #78",,,500,,"{% cite 8321 %} p. 126, note 131, {% cite 7984 %} p. 218, fig. 12, {% cite 8170 %} p. 43, {% cite 9004 %} cat. #356, fig. 472, pp. 394, 400, 406, {% cite 8900 %} cat. #352",175,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3072/thumbnail.jpg,img/derivatives/simple/3072/full.jpg
3074,,,,Diana and Actaeon (Budapest),Painting,Classical Mythology,Dog Van_Balen Forest Nude Putti Classical History Mythological Shells,1608-1610,35.5,45.7,,,Copper,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #363, Honig database",,363,,,Public,Hungary,Budapest,Szépmüvészeti Múzeum,inv. #552,4942|4943|4944,"Von Frimmel 1892, p. 200; Budapest catalogue 1898, 1906 as Jan Bruegel; Budapest catalogues 1954, 1968 as Rottenhammer; Bille 1961, p. 3, #10, p. 88; Jost 1963, pp. 116-17; Ertz 1984, fig. 241; Werche 2004, cat. #A 76, p. 163; Ertz 2008-10, cat. #363",,,,,http://www.szepmuveszeti.hu/adatlap_eng/diana_and_actaeon_ovid_metam_9107,"{% cite 7936 %} p. 200, {% cite 8246 %}  p. 3, #10, p. 88, {% cite 8321 %}  pp. 116-17, {% cite 8067 %} fig. 241, {% cite 8912 %} cat. #A 76, p. 163, {% cite 8900 %} cat. #363",176,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3074/thumbnail.jpg,img/derivatives/simple/3074/full.jpg
3075,,<a href='/brughel/3809'><img src='/img/derivatives/simple/3809/thumbnail.jpg' /></a>,3809,Diana and Actaeon (Elmira),Painting,Classical Mythology,Forest Nude Classical History Mythological Flowers Fruit Jewels Shells,ca. 1605,25,34,,,Copper,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #360",,360,,,Public,United States,"Elmira, NY",Arnot Art Museum,,4945|4946|4947|4948,"Ertz 2008-10, cat. #360",,3809,,,,{% cite 8900 %} cat. #360,177,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3075/thumbnail.jpg,img/derivatives/simple/3075/full.jpg
3076,,,,Diana and Actaeon (Kassel),Painting,Classical Mythology,Dog Van_Balen Forest Nude Classical History Mythological,1608,35.5,47,,,Copper,,H. v. Balen 1608,,,,Hendrick van Balen (1575-1632),,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #362, Honig database as Jan and studio?, Werche 2004 as Van Balen, not collaboration",,362,,,Public,Germany,Kassel,Gemäldegalerie Alte Meister,inv. #GK64,4949,"Jost 1963, p. 116, fig. 12; Legrand 1963, p. 49; de Bosque 1985, p. 190; Larsen 1985, p. 63, fig. 34; Schnackenburg 1985, p. 17, pl. 6; Werche 2004, cat. #A.75, p. 163; Ertz 2008-10, cat. #362","Kassel 2004, cat. #4",,,,,"{% cite 8321 %} p. 116, fig. 12, {% cite 8912 %} cat. #A.75, p. 163, {% cite 8900 %} cat. #362",178,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3076/thumbnail.jpg,img/derivatives/simple/3076/full.jpg
3077,,<a href='/brughel/3079'><img src='/img/derivatives/simple/3079/thumbnail.jpg' /></a>,3079,Diana and Actaeon (Munich),Painting,Classical Mythology,Fish Van_Balen Forest Nude Classical History Mythological,ca. 1605,17,26,,,Copper,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #361, Munich 2013 as Jan and Hans Rottenhammer, Honig database as Jan and studio",,361,,,Public,Germany,Munich,Alte Pinakothek,inv. #902,4950|4951,"Peltzer 1916, p. 354, #27 as circle of Rottenhammer; Werche 2004 #A 74; Lemgo/Prague 2008, p. 132 fig. 182; Ertz 2008-10, cat. #361; Munich 2013, p. 420 (not in exhibition)",,3079,,,,"{% cite 8777 %} p. 354, #27 as circle of Rottenhammer, {% cite 8912 %} #A 74, {% cite 8241 %} p. 132 fig. 182, {% cite 8900 %} cat. #361, {% cite 8739 %}  p. 420 (not in exhibition)",179,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3077/thumbnail.jpg,img/derivatives/simple/3077/full.jpg
2891,,<a href='/brughel/2892'><img src='/img/derivatives/simple/2892/thumbnail.jpg' /></a>|<a href='/brughel/2893'><img src='/img/derivatives/simple/2893/thumbnail.jpg' /></a>,2892|2893,"Aeneas and Sibyl in the Underworld (Budapest, 551)",Painting,Classical Mythology,Nude Demons Hell/Underworld Classical History Mythological,1600,26.4,36,,,Copper,,BRUEGH. 1600,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #333, Ertz 1979, #65, Honig database",65,333,,,Public,Hungary,Budapest,Szépmüvészeti Múzeum,inv. #551 (640),4470,"Ertz 1979, cat. #65; Antwerp 1998, #38; Budapest 2000, 29; Silver 2006, p. 158, fig. 7.20; Ertz 2008-10, cat. #333",,2892|2893,,,http://www.szepmuveszeti.hu/adatlap_eng/aeneas_and_sibyl_in_the_8584,"{% cite 9004 %} cat. #65, {% cite 8883 %} p. 158, fig. 7.20, {% cite 8900 %} cat. #333",18,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2891/thumbnail.jpg,img/derivatives/simple/2891/full.jpg
3078,,,,Diana and Actaeon (Prague),Painting,Classical Mythology,Dog De_Clerck Forest Nude Classical History Landscape,1606-1609,51,89.5,,,Panel,,,,,,Hendrick de Clerck (1570-1629/30),,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #365, Ertz 1979, #146, Honig database",146,365,,,Public,Czech Republic,Prague,Narodní Galerie,inv. #DO-4130,4952|4953|4954,"Ertz 1979, cat. #146; Slavïk 2000, cat. #64 ; Ertz 2008-10, cat. #365",,,,,,"{% cite 9004 %} cat. #146, {% cite 8900 %} cat. #365",180,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3078/thumbnail.jpg,img/derivatives/simple/3078/full.jpg
3079,,<a href='/brughel/3077'><img src='/img/derivatives/simple/3077/thumbnail.jpg' /></a>|<a href='/brughel/3082'><img src='/img/derivatives/simple/3082/thumbnail.jpg' /></a>,3077|3082,Diana and Actaeon (Zurich),Painting,Classical Mythology,Dog Van_Balen Forest Nude Classical History Mythological,1608-1610,29.8,41.3,,,,,,,Mark of Peeter Stas,,Hendrick van Balen (1575-1632),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #364",,364,,,Private,,,,"Zürich, David Koetser Gallery",4955|4956|4957,"Ertz 2008-10, cat. #364",,3077|3082,,,,{% cite 8900 %} cat. #364,181,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3079/thumbnail.jpg,img/derivatives/simple/3079/full.jpg
3080,,,,Diana and Actaeon in a Forest Landscape,Painting,Classical Mythology,Dog Forest World Nude Classical History Landscape Mythological,ca. 1590,10.9,14.8,,,Copper,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #357a",,357,,,Private,,,,Private Collection,,"Ertz 2008-10, cat. #357a",,,,,,{% cite 8900 %} cat. #357a,182,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3080/thumbnail.jpg,img/derivatives/simple/3080/full.jpg
3082,,<a href='/brughel/3810'><img src='/img/derivatives/simple/3810/thumbnail.jpg' /></a>|<a href='/brughel/3079'><img src='/img/derivatives/simple/3079/thumbnail.jpg' /></a>,3810|3079,Diana and Callisto (Berlin),Painting,Classical Mythology,Dog Van_Balen Miniature Forest Stream Nude Putti Classical History Mythological,ca. 1610,9.3,15,,,Copper,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #367, Honig database as uncertain, possibly studio",,367,,,Public,Germany,Berlin,"Gemäldegalerie, Staatliche Museen zu Berlin",inv. #M53,4969,"Werche 2004, cat. #A.79, pp. 164-65; Ertz 2008-10, cat. #367",,3810|3079,,,,"{% cite 8912 %} cat. #A.79, pp. 164-65, {% cite 8900 %} cat. #367",183,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3082/thumbnail.jpg,img/derivatives/simple/3082/full.jpg
3083,,,,Diana and Her Nymphs After Fishing,Painting,Classical Mythology,Birds Deer Fish Van_Balen Forest River Nude Classical Mythological,,58.5,85.5,,,Panel,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Produced in Jan Brueghel's Studio,,,,,,Public,Argentina,Buenos Aires,Museo Nacional de Bellas Artes de Buenos Aires,,,"Navarro 1994, &apos;&apos;La pintura holandesa y flamenca (siglos XVI al XVIII) en el Museo Nacional de Bellas Artres de Buenos Aires,&apos;&apos; p. 16-19; Navarro 2001, &apos;&apos;Maestros flamencos y holandeses (siglos XVI al XVIII) en el Museo Nacional de Bellas Artes de Buenos Aires,&apos;&apos; p. 17-19",,,,,,,184,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3083/thumbnail.jpg,img/derivatives/simple/3083/full.jpg
3084,,,,Diana and Her Nymphs After the Hunt,Painting,Classical Mythology,Birds Dog Fish Van_Balen Forest River Nude Putti Classical History Mythological Jewels,1620-1625,55,94,,,Panel,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #351, Ertz 1979, #376, Honig database",376,351,,,Private,,,,"England, Private Collection, Lord Spencer",,"Ertz 1979, cat. #376, fig. 481; Ertz 2008-10, cat. #351",,,,,,"{% cite 9004 %} cat. #376, fig. 481, {% cite 8900 %} cat. #351",185,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3084/thumbnail.jpg,img/derivatives/simple/3084/full.jpg
3085,,,,"Diana and Her Nymphs Asleep, Spied Upon by Satyrs",Painting,Classical Mythology,Hunting Birds Deer Fish Van_Balen Forest Nude Classical History Mythological Flowers Musical_instruments,ca. 1620,46,61,,,Copper,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #357, Honig database",,357,,,Public,Germany,Dresden,"Staatliche Kunstsammlungen Dresden, Gemäldegalerie Alte Meister",inv. #925,4970,"Ertz 2008-10, cat. #357",,,,,,{% cite 8900 %} cat. #357,186,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3085/thumbnail.jpg,img/derivatives/simple/3085/full.jpg
3088,,,,Diana and Nymphs with Spoils of the Hunt,Painting,Classical Mythology,Hunting Birds Deer Dog Van_Balen Forest Nude Classical History Mythological,ca. 1621,62.2,95.9,,,Panel,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #353, Ertz 1979, #377, Honig database as uncertain, possibly studio",377,353,,,Private,,,,"New York, Mrs. Rush H. Kress",4983|4984|4985|4986,"Ertz 1979, cat. #377, fig. 482; Ertz 2008-10, cat. #353",,,,,,"{% cite 9004 %} #377, fig. 482, {% cite 8900 %} cat. #353",187,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3088/thumbnail.jpg,img/derivatives/simple/3088/full.jpg
2892,,<a href='/brughel/2891'><img src='/img/derivatives/simple/2891/thumbnail.jpg' /></a>|<a href='/brughel/2893'><img src='/img/derivatives/simple/2893/thumbnail.jpg' /></a>,2891|2893,"Aeneas and Sibyl in the Underworld (Budapest, 553)",Painting,Classical Mythology,Fire Nude Demons Hell/Underworld Classical History Mythological,ca. 1600,26.4,36.2,,,Copper,,...GHEL 160(0?),,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #333a, Ertz 1979, #66, Honig database",66,333,,,Public,Hungary,Budapest,Szépmüvészeti Múzeum,inv. #553 (645),4471|4472,"Ertz 1979, cat. #66; Essen 1997, cat. #41; Budapest 2000, 29; Ertz 2008-10, cat. #333a","Essen/Vienna 1997, cat. #41|Munich 2013, cat. #38",2891|2893,,,http://www.szepmuveszeti.hu/adatlap_eng/aeneas_and_sibyl_in_the_8585,"{% cite 9004 %} cat. #66, {% cite 9145 %} cat. #41, {% cite 8900 %} cat. #333a",19,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2892/thumbnail.jpg,img/derivatives/simple/2892/full.jpg
3091,,<a href='/brughel/3090'><img src='/img/derivatives/simple/3090/thumbnail.jpg' /></a>|<a href='/brughel/3092'><img src='/img/derivatives/simple/3092/thumbnail.jpg' /></a>|<a href='/brughel/3093'><img src='/img/derivatives/simple/3093/thumbnail.jpg' /></a>,3090|3092|3093,Entrance to Village with Windmill (Amsterdam),Painting,"Village, Town and Cityscape",Birds Horse Swine House Village Windmill Burghers Road Wagon,ca. 1603-ca. 1605,18,25,,,Copper,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #169, Ertz 1979, #100",100,169,,,Private,,,,"Formerly Amsterdam, Gallery de Boer, May 1963, inv. #9",4991|4992,"Schreiner, L. &apos;&apos;Niederdeutsche Beiträge zur Kunstgeschichte&apos;&apos;, 14, 1975, pp. 113-126; Ertz 1979, cat. #100, fig. 145; Ertz 2008-10, cat. #169",,3090|3092|3093,,,,"{% cite 8924 %} 14, 1975, pp. 113-126, {% cite 9004 %} cat. #100, fig. 145, {% cite 8900 %} cat. #169",190,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3091/thumbnail.jpg,img/derivatives/simple/3091/full.jpg
3092,,<a href='/brughel/3090'><img src='/img/derivatives/simple/3090/thumbnail.jpg' /></a>|<a href='/brughel/3091'><img src='/img/derivatives/simple/3091/thumbnail.jpg' /></a>|<a href='/brughel/3093'><img src='/img/derivatives/simple/3093/thumbnail.jpg' /></a>,3090|3091|3093,Entrance to Village with Windmill (Zurich),Painting,"Village, Town and Cityscape",Birds Dog Horse Swine House Windmill Burghers Road Wagon,1605,19.3,28,,,Copper,,BRUEGHEL 1603(5),,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #168, Ertz 1979, #93, Honig database as uncertain, possibly studio",93,168,,,Private,,,,"Zürich, Knecht Collection",4993|4994|4995|4996,"Ertz 1979, cat. #93, fig. 143; Ertz 2008-10, cat. #168; Winkelmann-Rhein 1968, pp.57","Brussels 1980, cat. #122",3090|3091|3093,,,,"{% cite 9004 %} cat. #93, fig. 143, {% cite 8900 %} cat. #168, {% cite 9394 %} pp.57",191,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3092/thumbnail.jpg,img/derivatives/simple/3092/full.jpg
3094,,<a href='/brughel/3424'><img src='/img/derivatives/simple/3424/thumbnail.jpg' /></a>|<a href='/brughel/3423'><img src='/img/derivatives/simple/3423/thumbnail.jpg' /></a>,3424|3423,"Entry Into Noah&apos;s Ark (London, Wellington Museum)",Painting,Religious,Traveling Parrot Cattle Deer Horse Field Old_Testament,1615,25.7,37,,,Copper,,BRUEGEHL 1615,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #198, Ertz 1979, #287, Honig database",287,198,,,Public,England,London,"Wellington Museum, Apsley House","inv. #WM 1637, 1948 (Black 134)",4999|5000,"Wellington Museum, cat. 1959, p. 37, #1637; Ertz 1979, cat. #287, fig. 311a; Ertz 2008-10, cat. #198",,3424|3423,,,,"{% cite 9004 %} cat. #287, fig. 311a, {% cite 8900 %} cat. #198",193,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3094/thumbnail.jpg,img/derivatives/simple/3094/full.jpg
3095,,,,Extensive Landscape with Travelers on a Country Road,Painting,Landscape,Hunting Traveling Dog Horse Road Wagon,ca. 1610,33.6,46.4,,,Copper,,,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #40",,40,,,Public,United States,"St. Louis, MO",The Saint Louis Art Museum,inv. #84:1966,5001|5002,"Ertz 2008-10, cat. #40",,,,,http://slam.org:8080/emuseum/view/objects/asitem/items$0040:29080,{% cite 8900 %} cat. #40,194,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3095/thumbnail.jpg,img/derivatives/simple/3095/full.jpg
3097,,,,Fall of the Manna (London),Painting,Religious,Monkey Van_Balen Garden Nude Putti Old_Testament Paradise,ca. 1620,50,71,,,Copper,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #213",,213,,,Private,,,,"London, Chaucer Fine Arts, 1988",5005,"Werche 2004, cat. #A10; Ertz 2008-10, cat. #213",,,,,,"{% cite 8912 %} cat. #A10, {% cite 8900 %} cat. #213",196,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3097/thumbnail.jpg,img/derivatives/simple/3097/full.jpg
3099,,<a href='/brughel/3719'><img src='/img/derivatives/simple/3719/thumbnail.jpg' /></a>,3719,Farmhouse Among Trees,Drawing,Landscape,House Landscape,1621-1623,18.3,29.3,,,Paper,"Pen and brown ink, brush in brown and blue",,,Watermark: lion (similar to Heawood 3121),,,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #AMST.RM.1,,,AMST.RM.1,,Public,Netherlands,Amsterdam,Rijksmuseum,RP-T-1897-A-3370,6532|6533|6534|6535,"New Haven 1970, I, p. 285-6, nr. 524; Schapelhouman 1987, p. 16, nr. 8; Essen/Vienna 1997-98, p. 39, 480-1, nr. 175, ill.","Essen/Vienna 1997-98, nr. 175",3719,,,http://hdl.handle.net/10934/RM0001.COLLECT.28008,"{% cite 9006 %} p. 285-6, nr. 524, {% cite 8236 %} p. 39, 480-1, nr. 175, ill.",197,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3099/thumbnail.jpg,img/derivatives/simple/3099/full.jpg
